channel_name,text,date,news_type,sentiment_type
новости,перу изз протест остановить поезд главный достопримечательность республика затерянный город инк мачупикчить,2022-12-13,Humanitarian,negative
новости,боррель столтенберг перепутать россия украина анонсировать введение санкция иран поддержка украина ошибка глава евродипломатия не заметить исправляться не,2022-12-12,Political,negative
новости,путин выступление глава спч фадеев сложность экипировка ход спецоперация попросить представить информация разобраться,2022-12-07,Political,positive
новости,конгресс молодой учёный сириус представить робокот мурлыкать реагировать человеческий,2022-12-02,Political,positive
новости,спецоперация ноябрь главное донецкий направление результат наступательный действие российский войско полностью освободить пункт белогоровка перш травень курдюмовка андреевка сообщить минобороны,2022-11-30,Shelling,positive
новости,нарышкин новость польша поступать служба внешний разведка информация форсировать подготовка аннексия львовский иванофранковский больший часть тернопольский область украина слово варшава,2022-11-30,Political,neutral
новости,французский багет внести список нематериальный культурный наследие юнеско,2022-11-30,Political,positive
новости,брат армянский премьера армен пашинянин попасть дтп окраина ереван госпитализировать перелом писать местный издание,2022-11-29,Humanitarian,positive
новости,накануне день мать сотрудник ск россия волонтёр днр доставить гуманитарный помощь малоимущий семья прифронтовой район донецк,2022-11-26,Humanitarian,positive
новости,минкультуры отказать прокатный удостоверение сериал монастырь который сняться филипп янковский анастасия ивлеева сюжет москвичкатусовщица ввязываться неприятный ситуация влиятельный человек решать,2022-11-24,Political,negative
новости,весь украина значительный перебой интернет следовать данные netblocks,2022-11-23,Humanitarian,neutral
новости,европарламент принять юридически не обязывать резолюция признание россия государствомспонсор терроризм воздержаться,2022-11-23,Political,positive
новости,мид нидерланды вызвать российский посол изз реакция москва вердикт дело,2022-11-18,Political,neutral
новости,депутат сенатор внести госдума законопроект конфискация имущество получить результат киберпреступление сообщить пискарёв,2022-11-18,Economical,negative
новости,международный паралимпийский комитет приостановить членство паралимпийский комитет россия организация говориться релиз ipc,2022-11-16,Political,positive
новости,взрыв прогреметь одесса связать не обстрел взрыв газ один многоквартирный дом писать местный издание,2022-11-16,Shelling,positive
новости,саакашвили атрофировать мышца левый рука сильный боль заявить адвокат,2022-11-15,Humanitarian,negative
новости,сша разрешить операция подсанкционный российский компания обеспечение безопасность гражданский авиация сообщать минфин,2022-11-14,Economical,positive
новости,байден ошибочно поблагодарить руководство колумбия организация саммит асеана дело камбоджа хотеть поблагодарить премьерминистр председательство колумбия асеана приём заявить байден один,2022-11-12,Political,positive
новости,германия намеренно не вводить санкция газ россия поскольку страна зависимый российский поставка заявить канцлер фрг олафа шольц,2022-11-12,Economical,negative
новости,сбу заявить задержать иностранный блогер гражданин страна европа якобы снимать материал телеканал сказать новость сообщение не соответствовать действительность предварительный данные,2022-11-10,Political,neutral
новости,личный телефон лиз трасса взломать бытность глава британский мид утверждать daily mail ссылка источник добавлять изз утечь деталь деликатный дискуссия,2022-10-30,Political,positive
новости,воздушный тревога звучать сумский харьковский николаевский днепропетровский область сообщать власть незадолго тревога звучать полтавский область отменить,2022-10-29,Shelling,negative
новости,объявить международный розыск олигарх плахотнюк заявить намеренный молдавский политика вывести страна кризис руководить демократический партия входить правящий коалиция покинуть страна,2022-10-28,Economical,neutral
новости,путин утверждение возможный применение россия ядерный оружие военный доктрина пусть прочитать,2022-10-27,Political,neutral
новости,путин гражданский война происходить россия украина отчасти,2022-10-27,Political,negative
новости,массировать удар украина теракт крымский мост привести отключение электричество тюрьма военнопленный надзиратель укрываться подвал рассказать вернуться украинский плен сержант днр,2022-10-27,Shelling,negative
новости,бывший замглавы group куделькин гендиректор компания сменить позиция акционер холдинг филёв филёв акционер продолжить принимать участие решение стратегический вопрос сообщать,2022-10-25,Economical,positive
новости,росздравнадзор сообщить новость разбираться медик москва мочь принять пациент труп заворачивать чёрный пакет,2022-10-25,Humanitarian,positive
новости,противоречие работа специальный координационный совет глава мишустин контрольный группа совбез глава медведев заниматься вопрос производство поставка военный техника контроль сообщить,2022-10-24,Political,positive
новости,высокопоставленный украинский чиновник обыск дело хищение гуманитарный помощь писать местный издание обыск среди прочее советник замглавы президентский офис симонить первый,2022-10-21,Political,neutral
новости,российский посольство прокомментировать новость сообщение задержание россиянин иран правоохранитель вопрос россиянин снимать достопримечательность решать разъяснение ранее агентство fars сообщить гражданин,2022-10-20,Political,positive
новости,госдума принять закон позволить продлевать срок гражданский служба достигнуть предельный возраст продление возможно максимум ориентировать опытный руководитель достигнуть хороший показатель,2022-10-19,Political,positive
новости,полный запись интервью генерал суровикино,2022-10-18,Political,neutral
новости,мэр харьков сообщить город минута серия взрыв предварительный данные удар район промышленный предприятие,2022-10-18,Shelling,negative
новости,россиянин сказать накопление затрудниться ответ опрос вциома откладывать делать всякий ремонт квартира отдых лечение старость покупка недвижимость ради процентный доход,2022-10-17,Economical,positive
новости,глава днр наградить министр культура чечня айшат кадыров орден дружба,2022-10-16,Political,positive
новости,объект энергетический инфраструктура киевский область получить тяжёлый повреждение ход ракетный удар утром суббота сообщить укрэнерго,2022-10-15,Shelling,negative
новости,картина немецкий абстракционист герхард рихтер цвет продать sothebys миллион рихтер считаться один самый влиятельный художник ныне жить работа один самый,2022-10-15,Humanitarian,positive
новости,полицейский белгородский область подозревать передача украина информация база данные мвд задержать сотрудник фсб сообщить источник новость,2022-10-14,Humanitarian,positive
новости,глава кгб белоруссия заявить иностранный спецслужба подготовить украина боевик захват райцентр республика,2022-10-11,Political,neutral
новости,железнодорожный движение крымский мост восстановить полностью сообщить глава мчс,2022-10-08,Humanitarian,positive
новости,задержать нидерланды подозрение поставка россия микрочип наслать российский гражданство голландский сообщать профильный служба,2022-10-07,Political,negative
новости,источник российский силовой структура подтвердить новость наличие российский паспорт судья верховный суд украина львов,2022-10-03,Political,positive
новости,замглавы администрация херсонский область безопасность алексей катериничев погибнуть результат украинский ракетный удар херсон сообщить новость власть регион,2022-09-30,Shelling,negative
новости,украинский боевик подорвать неосторожность мелитополь готовить серия теракт дом следователь обнаружить взрывчатка множество комплектующие изготовление сву передавать корреспондент новость,2022-09-26,Shelling,negative
новости,херсон задержать диверсант планировать теракт гражданский объект срыв референдум запугивание житель сообщать гумвд область,2022-09-22,Shelling,negative
новости,генконструктор разработчик межконтинентальный ракета сармат рассказать новость быстрый набор скорость помогать преодолевать система управление сармат позволять наводиться цель попадание ракета,2022-09-22,Shelling,positive
новости,днр лнр запорожский херсонский область вправе воспользоваться право самоопределение соответствие устав оон заявить лавров,2022-09-21,Political,positive
новости,немецкий канцлер принять сведение сообщение частичный мобилизация россия сообщать представитель,2022-09-21,Political,neutral
новости,запорожский аэс подвергнуться украинский обстрел повредить высоковольтный линия электропередача оборудование связь энергоблок заявить власть,2022-09-21,Shelling,negative
новости,путин выступать обращение донбасс,2022-09-21,Political,neutral
новости,путин принимать верительный грамота иностранный посол гарант приднестровский урегулирование действовать строгий соответствие договорённость заключить молдавский сторона,2022-09-20,Political,positive
новости,курский область населить пункт остаться электричество сообщать власть данные областной гу мчс ветер порыв метр секунда ожидаться сентябрь прогнозироваться дождь,2022-09-18,Humanitarian,positive
новости,коронавирус сентябрь дать университет хопкинс скончаться человек выявить заражение сша бразилия индия мексика перу британия италия индонезия франция,2022-09-17,Humanitarian,neutral
новости,один лидер немецкий левый партия вагенкнехт заподозрить связь российский агент ролик появиться скриншот надпись русский,2022-09-16,Political,positive
