channel_name,text,date,news_type,sentiment_type
русском,эксклюзив ночью взорвать мост выезд мелитополь основный пролёт просесть движение перекрыть передавать военкор влад vandrytsa андрица место работать кинолог сапёр,2022-12-13,Shelling,negative
русском,путин заявить необходимость создание отдельный программа восстановление жильё помощь житель донбасс помогать человек утратить жилой помещение начинать февраль начаться тяжёлый,2022-12-07,Political,positive
русском,путин поздравить президент киргизия жапаров день рождение обсудить вопрос двусторонний повестка день сообщить кремль подписаться русский,2022-12-06,Political,positive
русском,пленный красноармеец пытать волоколамский район подмосковье немецкий оккупант запереть четырёхэтажный дом день поджечь пытаться спастись выпрыгивать окно расстреливать следовать рассекретить,2022-12-05,Shelling,negative
русском,украинский сми паблик сообщать взрыв херсон подписаться русский,2022-12-03,Shelling,negative
русском,дождь смииноагент попасть скандал телеканал уволить ведущий алексей коростелевый эфир имя редакция надеяться многий военнослужащий число смочь помочь например оснащение,2022-12-02,Political,positive
русском,канье уэст заявить симпатия гитлер популярный сторонник трамп соцсеть parler объявить отменить продажа сервис рэпер twitter блокировка музыкант сообщать axios,2022-12-02,Political,positive
русском,еврокомиссия предложить страна ес принять потолок цена нефть рф уровень баррель сообщать the wall street journal подписаться русский,2022-12-01,Economical,positive
русском,абонент оставаться свет киевский область заявить губернатор алексей кулеб слово регион происходить экстренный отключение ситуация усугубляться провод обрываться изз обледенение,2022-11-28,Political,negative
русском,акция яндекс снижаться новость изменение структура компания свидетельствовать дать мосбиржа подписаться русский,2022-11-25,Economical,positive
русском,путин обратиться мать военнослужащий погибнуть ход сво хотеть знать лично руководство страна разделять боль понимать не заменить утрата сын утрата,2022-11-25,Political,positive
русском,украинский плен вернуться российский боец заявить пушилин слово столько основное военный всу отдать украина накануне минобороны сообщить плен вернуться российский,2022-11-24,Political,positive
русском,путин заявить опыт применение сила одкб казахстан проанализировать поддерживать решение оснащение сила современный вооружение подписаться русский,2022-11-23,Political,positive
русском,редактор иа regnum писатель журналист член спч марина ахмедов marinaslovo появиться сообщение лидер бессмертный полка выложить свой сайт националистический террористический,2022-11-22,Political,positive
русском,генпрокуратура украина обвинить российский военный сымитировать сдача плен вероломно напасть украинский ранее сеть появиться видео который всу расстреливать безоружный боец,2022-11-22,Political,negative
русском,мид польша подтвердить отказ допустить лавров участие заседание совет министр иностранный обсе планировать лодзь декабрь подписаться русский,2022-11-21,Political,positive
русском,стратегия освобождение крым путин свободный ой слабый экспрезидент украина порошенко беседа майкл макфол вид позвонить пранкеры вован лексус рассказать план,2022-11-17,Political,positive
русском,польша готовиться возможность падение ракета польский территория заявить премьер страна ход выступление сейм подписаться русский,2022-11-16,Political,positive
русском,минобороны россия ноябрь российский вооружённый сила нанести массировать удар высокоточный оружие дальность воздушный морской базирование система военный управление украина ракета,2022-11-16,Shelling,negative
русском,президент польша проводить разговор байден заявить канцелярия польский президент подписаться русский,2022-11-15,Political,positive
русском,выпускник запорожский херсонский область днр лнр получить аттестат окончание школа экзамен заявить председатель движение россия владимир рогов подписаться русский,2022-11-15,Humanitarian,positive
русском,британский пограничник вмс франция сговориться ламанше сопровождать лодка нелегальный мигрант великобритания писать daily mail публиковать выдержка переговоры запись экипаж связываться,2022-11-15,Humanitarian,positive
русском,учить язык родный язык жительница мариуполь рассказать рада ребёнок спокойно учиться русский язык не давать нормальный пятёрка не ставить должный,2022-11-14,Humanitarian,positive
русском,результат упорный бой армия россия полностью освободить павловка днр заявить минобороны подписаться русский,2022-11-14,Shelling,positive
русском,правоохранительный орган рассматривать версия теракт связь взрыв центр стамбул сообщить новость источник подписаться русский,2022-11-13,Humanitarian,neutral
русском,кадр мосгорсуд признать законный выдворение блогер некоглай молдавия заседание обрить некоглай заявить стыдно каяться пародия российский боец дрон всу забрасывать,2022-11-11,Humanitarian,positive
русском,эксперт центр военнополитический журналистика автор telegramканал borisrozhin борис рожин штормовой подразделение бригада морской пехота бригада обтф каскад установить контроль важный,2022-11-10,Shelling,positive
русском,италия не готовить пакет помощь украина не исключать возобновление поставка вооружение будущее информация подтвердить издание il messaggero министр оборона страна,2022-11-10,Political,positive
русском,король карла iii супруг камилла закидать яйцо йорк инцидент произойти королевский чета приехать йоркшир открытие статуя елизавета ii мужчина бросать,2022-11-09,Shelling,neutral
русском,постпред сша оон линда томасгринфилд прибыть киев отметить непоколебимый поддержка украина заявить американский дипмиссия,2022-11-08,Political,positive
русском,минобороны сообщить результат переговоры подконтрольный киев территория возвратить военный россия который плен грозить смертельный опасность освободить российский военнопленный доставить москва,2022-11-03,Shelling,negative
русском,главный заявление секретарь сб рф николай патрушев сша великобритания вербовать международный террорист участие боевой действие сторона киевский режим украина превратиться,2022-11-03,Political,neutral
русском,соцсеть расходиться видео который предположительно украинка пытаться попасть запорожский область итог въезд отказывать утверждать сеть изз оскорбление адрес рф российский,2022-11-02,Shelling,negative
