channel_name,text,date,news_type,sentiment_type
украина новости война,очередной вагнеровец попасть плен праздничный упаковка ответ первый фото подоспеть занимательный мем готовиться утренник хлопушка,2022-12-11,Shelling,positive
украина новости война,украинский лента клондайк попасть полный список номинант премия оскар клондайк художественный фильм украинский режиссёр марина эра горбач событие фильм разворачиваться,2022-12-10,Humanitarian,positive
украина новости война,ботоксный диктатор осмотр крымский мост поздравить российский волонтёр праздник президент рф владимир путин посетить московский форум посвятить помощь волонтерство вручить,2022-12-05,Political,positive
украина новости война,одесский область повредить энергетический инфраструктура попадание дом объект гражданский инфраструктура сообщать одесский ова ранить человек настоящий электроснабжение отсутствовать одесса большинство,2022-12-05,Shelling,neutral
украина новости война,фон отключение электричество интернет пропадать одесса сумах житомир ,2022-12-05,Humanitarian,neutral
украина новости война,россия запутаться воевать пропагандистка симоньян призывать бомбить не киев вашингтон лондон берлин ,2022-12-04,Political,negative
украина новости война,луганщина оккупант устроить показательный казнь слово ,2022-12-04,Humanitarian,negative
украина новости война,поддержка всу оккупант новость ,2022-12-03,Shelling,negative
украина новости война,польский сейм не смочь принять резолюция признание рф государствомспонсор терроризм изз внести правящий партия поправка принятие заблокировать оппозиция поправка говориться,2022-12-02,Political,neutral
украина новости война,зеленский считать путин не применить ядерный оружие война украина не думать применить ядерный оружие заявить зеленский видеовыступление мероприятие организовать газета,2022-11-30,Political,negative
украина новости война,остаток снаряд который российский войско обстреливать харьков город собирать сапёр фото reuters ,2022-11-30,Shelling,negative
украина новости война,пво не наступление защита ребёнок мирный население ракетный удар михаил подоляк высказаться инициатива передать украина зрк patriot мудрый инициатива польша,2022-11-27,Political,positive
украина новости война,медведев вылезти ненадолго запой решить напомнить свой поддать главный пункт рашистский пропаганда напоследок заикнуться захват киев интересно день ,2022-11-20,Political,neutral
украина новости война,настоящий поддержка байрактар спутник мощь батарейка ,2022-11-18,Shelling,positive
украина новости война,карта российский ракетный удар украина данный момент ,2022-11-15,Shelling,negative
украина новости война,белгород чтоть сильно гореть ,2022-11-14,Shelling,negative
украина новости война,всу установить контроль макеевка луганский область заявлять ова ,2022-11-13,Political,neutral
украина новости война,бомба взорвать террористсмертник улица находиться российский консульство ,2022-11-13,Shelling,negative
украина новости война,военный база оккупант временно оккупировать мелитополь густой туман мэр фёдоров утренний погода мелитополь не польза русский гром молния сильный ветер,2022-11-03,Humanitarian,negative
украина новости война,страна нато передать украина вооружение мёртвый оккупант сутки русне украина вспоминать ,2022-11-02,Political,negative
украина новости война,украинец необходимо начинать подготовка сложный зима заявить премьерминистр украина денис шмыгаль государство готовиться запасаться дополнительный оборудование украинец должный готовиться сложный,2022-11-01,Political,positive
украина новости война,отбой тревога страна следить сообщение свой регион беречь ,2022-10-31,Shelling,negative
украина новости война,российский войско не добиться значительный прогресс район бахмут целое вдоль линия фронт isw фальсифицировать заявление наступление район бахмут изобразить успех,2022-10-29,Shelling,negative
украина новости война,батька син дядько чоловіка з однієї родиня плічопліча визволяють українські землі від російський окупантіть під контрнаступа херсонщині йий батька підірвався,2022-10-26,Political,neutral
украина новости война,вооружённый сила украина обратиться российский войско кидать уба расходный материал потеря не считать украина не угрожать российский федерация подумать семья,2022-10-24,Political,positive
украина новости война,всу неделя демилитаризировать склад бк руснуть база кп ,2022-10-24,Shelling,negative
украина новости война,житель черкащина предупреждть высокий вероятность удар воздух ,2022-10-21,Political,neutral
украина новости война,завтра весь украина вводиться ограничение поставка электроэнергия заявить замглавы оп тимошенко начинать необходимо минимизировать пользование электроэнергия касаться житель область страна,2022-10-19,Political,positive
украина новости война,путин объявить война запад цитировать spiegel слово глава федеральный разведывательный служба германия президент управление защита конституция фрг глава немецкий спецслужба,2022-10-17,Political,positive
украина новости война,сообщать взрыв одесса ,2022-10-16,Shelling,negative
украина новости война,румыния выделить млн оборона украина молдова программа нато newsmaker министр иностранный румыния богдан ауреска заявить направить орган власть страна включая,2022-10-15,Political,positive
украина новости война,белгород добавить нечего ,2022-10-15,Political,neutral
украина новости война,приблизительный количество остаться высокоточный ракета рф ,2022-10-14,Shelling,negative
