channel_name,text,date,news_type,sentiment_type
экономика,большинство страна евросоюз согласовать заморозка средство венгрия фонд сбалансированный развитие ес размер млрд изначально ес планировать заморозить млрд изз опасение,2022-12-13,Economical,positive
экономика,россия исключить список страна проект google поиск рамка крупный поисковик публиковать список популярный страна запрос проект поиск year in search,2022-12-13,Political,positive
экономика,глава еврокомиссия урсула фон дер ляйена надеяться страна ес смочь близкий день прийти политический решение потолок цена газ совместный прессконференция,2022-12-13,Economical,positive
экономика,банк фиксировать рост интерес россиянин к вклад юань доля такой продукт портфель попрежний незначительный несмотря ускоренный девалютизация российский экономика показать,2022-12-11,Economical,positive
экономика,понедельник декабрь соцсеть возвращать премиальный подписка twitter blue стоить месяц десктопной версия пользователь ios twitter сообщать свой официальный аккаунт соцсеть,2022-12-11,Humanitarian,positive
экономика,сша предоставить украина пакет военный помощь сумма млн войти боеприпас ракетный система залповый огонь himars артиллерийский снаряд помимо пакет включать,2022-12-10,Shelling,positive
экономика,страна ес должный выработать сильный ответ принять сша август акт снижение инфляция ira заявить президент франция эмманюля макрон итог саммит,2022-12-10,Political,positive
экономика,индийский премьер нарендра модить отказаться проведение ежегодный встреча российский президент владимир путин изз угроза последний применить ядерный оружие украина сообщить,2022-12-10,Political,negative
экономика,федеральный служба исполнение наказание россия повысить предельный цена закупка электронный техника компьютер ноутбук планшет принтер ведомство внести изменение норматив количество,2022-12-09,Economical,positive
экономика,бытовой отход являться проблема любой мегаполис научиться справляться вновь ожидать возглавить зелёный рейтинг российский регион помимо технологический новация вызывать уважение,2022-12-09,Political,positive
экономика,венгрия готовый серьёзный нападки сторона ес поскольку брюссель использовать будапешт доступный форма шантаж заявить глава венгерский мид петер сийяртый практически,2022-12-09,Economical,neutral
экономика,стоимость февральский фьючерс нефть марка brent лондонский биржа ice упасть баррель свидетельствовать дать торг биржа нефтяной котировка снижаться фон неопределённость,2022-12-09,Economical,negative
экономика,потолок цена российский нефть запрет морской экспорт российский нефть нефтепродукт европа стать экономика россия новый шок говориться бюллетень департамент исследование,2022-12-08,Economical,neutral
экономика,президент владимир путин назвать россия единственный настоящий гарант территориальный целостность украина заявить заседание совет развитие гражданский общество право человек националистический,2022-12-08,Political,positive
экономика,сбер запустить акция новый пользователь дебетовый карта оформить сберкарта декабрь оплачивать заказ сбермаркет самокат еаптека сбермегамаркет бонусный кешбэк получить участник,2022-12-07,Economical,positive
экономика,российский брокер столкнуться сложность расчёт подоходный налог клиент актив перевести подпасть ограничение профучастник результат инвестор столкнуться переплата налог брокер являться,2022-12-07,Economical,negative
экономика,премьерминистр венгрия виктор орбан согласиться президент франция эмманюэль макрон заявить цена конфликт россия украина неодинаковый оба сторона атлантика макрон указать,2022-12-06,Political,neutral
экономика,германия мировой война унижать поляк должный заплатить заявить глава правящий партия польша право справедливость pis ярослав качиньский слово война немец,2022-12-06,Political,negative
экономика,возможный ограничение россиянин специальный военный операция частичный мобилизация уехать граница продолжать российский компания требовать тщательный обсуждение привлечение трёхсторонний комиссия заявить,2022-12-06,Political,positive
экономика,президент россия владимир путин подписать закон разрешать губернатор передавать льготник невостребованный жильё который предназначаться уволить запас военный соответствовать документ опубликовать,2022-12-06,Political,positive
экономика,конец украина млн бедный заявить вицепрезидент всемирный банк анна бьерд всемирный банк гуманитарный последствие война катастрофичный назвать цифра состояние украина,2022-12-05,Economical,negative
экономика,опек решить сохранить текущий план добыча нефть предусматривать сокращение производство ноябрь млн баррель сутки бс следовать итоговый коммюнике который опубликовать,2022-12-05,Economical,positive
экономика,иран не заинтересованный возобновление ядерный сделка сша сосредоточиться вопрос число попытка сдержать сорвать поставка иранский оружие россия заявить специальный посланник,2022-12-04,Political,positive
экономика,венгрия добиться освобождение применение потолок цена российский нефть который ранее договориться страна ес австралия заявить министр иностранный страна петер сийяртый,2022-12-04,Economical,positive
экономика,европа российский нефть заявить михаил ульянов постоянный представитель россия международный организация вена европа российский нефть дать не поставлять нефть страна,2022-12-04,Economical,positive
экономика,спгзавод перевыполнять плановый показатель добыча смена оператор выход проект компания shell заявить губернатор сахалинский область валерий лимаренко ситуация достаточно позитивный,2022-12-03,Political,positive
экономика,общий объём торг рынок московский биржа сентябрь вырасти сравнение октябрьский показатель составить трлн свидетельствовать дать площадка объём торг фондовый рынок,2022-12-03,Economical,positive
экономика,численность россиянин жить граница бедность третий квартал сократиться млн сравнение период млн доля общий численность население уровень бедность снизиться сравнение,2022-12-03,Economical,negative
экономика,фонд недвижимость blackstone управление находиться актив объём млрд ограничить вывод средство инвестор blackstone real estate income trust breit столкнуться отток,2022-12-02,Economical,positive
экономика,департамент налоговый политика минфин россия считать целесообразный ограничить сфера действие налог профессиональный доход называть режим самозанятой использоваться преимущественно оказание услуга,2022-12-02,Humanitarian,positive
экономика,всероссийский esgфорум знание нижний новгород вызвать серьёзный интерес участвовать компания регион ключевой тема esgтрансформация бизнес роль государство процесс цель долгосрочный,2022-12-01,Political,positive
экономика,цена бензин сша вернуться уровень который находиться российский военный операция украина февраль сообщить президент сша джо байден цена газ упасть,2022-11-30,Economical,neutral
