channel,txt,date,category
Всевидящее ОКО 🇺🇦 | Новини Україна,"сегодня отмечается международная неделя клоунов ты знаешь, кого нужно поздравить. ",2023-08-01,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,бойцы вс рф прямо сейчас отражают атаку беспилотников на крымский мост ,2023-08-04,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"історія з офісами телефонних шахраїв заграла яскравими фарбами. по-перше, луплять ці офіси проросійський депутат дмитрук, непомітний всю війну депутат куніцкій та одіозний депутат коля тищенко. все це говорить про те, що питання справедливості не стоїть, це банальна робота по перерозподілу ринка. по-друге, росіянам дуже не подобаються українські колл-центри. по-третє, джокер нарешті повідомив, що коля тищенко його брат. наступним кроком скорійш за асе визнає, що олег ляшко його сестра. історія дуже зашкварная з усіх боків. а враховуючи, що коля ще й кришує один конкретний чотирьох поверховий кол-центр, взагалі яскрава. будемо спостерігати за тим як розвивається ця двіжуха і як депутат думи рф міронов дає вказівки джокеру та дмитруку. і ще раз хочу звернутись до силовиків: будь ласка, приберіть зашкварних депутатів від цієї справи, вони її дискредитують.",2023-08-09,Corruption
Всевидящее ОКО 🇺🇦 | Новини Україна,"самый популярный блогер в мире mrbeast выпустил видео, в котором обозначил крым как часть россии в ролике была показана соответствующая карта. ",2023-08-19,Political
Всевидящее ОКО 🇺🇦 | Новини Україна, точно в цель: впечатляющая эффективность использования fpv-дронов по живой силе русских ,2023-08-26,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"российские атаки на энергетическую инфраструктуру могут начаться в конце сентября или начале октября, — представитель гур скибицкий ",2023-09-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,в ровенской области физрук избивал своего ученика причина конфликта неизвестна. ,2023-09-15,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"— яким чином ви наближаєте перемогу? — «разговариваю на русском», «отправляю смс людям, когда воздушная тревога». ответы убили. ",2023-09-20,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"lamborghini urus vs бмп тренд можно закрывать, лучше уже не будет. ",2023-09-28,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"+1 причина, почему женщины живут дольше мужчин ",2023-09-30,Other
Всевидящее ОКО 🇺🇦 | Новини Україна," украина стала главным получателем оружия германии, — the guardian в этом году берлин изменил свою политику и выделил в 4 раза больше денег, чем в прошлом (приблизительно 3,3 миллиарда евро). ",2023-10-02,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"в россии учитель и школота поздравили путина с днем рождения портретами бандеры пранкер прислал учителям калужской школы задание якобы от регионального отделения ""единая россия"" поздравить путина с днем рождения. но на плакатах, которыми надо было его поздравить, были размещены фотографии бандеры и его цитаты. ",2023-10-05,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"«це від сатани, це той, що у московії при всіх знімав штани?» потапа в іспанії зовсім поплавило. на хейт у коментах він відповів коротко: «якби всіх так не хейтили як мене, популярних артистів стало би 100 разів більше». ",2023-10-06,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"израиль. центр сдерота после обстрела. лежат трупы людей судя по фото и видео, которые публикуют палестинцы, они подбили ряд единиц израильской бронетехники, включая танк ""меркава"". также есть видео боевиков, которые проезжают по улицам неизвестного города с криками ""аллах акбар"". на других кадрах они кладут на землю местных жителей. ",2023-10-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"момент прилёта ракеты на юге израиля по данным местных сми, более 100 израильтян получили ранения в результате ракетных обстрелов. ",2023-10-07,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"«пятница 13 октября — всемирный еврейский погром», - один из лидеров хамаса халед машаль выступил с призывом ко всем мусульманам мира — «устроить евреям настоящий погром» (то есть убивать, насиловать и брать в плен). он призвал повсюду «повторять действия хамаса» уже послезавтра. ",2023-10-11,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"два нових автотрансформатори від японії та програми розвитку оон обладнання підтримуватиме українську енергосистему перед початком осінньо-зимового періоду. воно встановлене на підстанції ""укренерго"" та допоможе у забезпеченні світлом 500 тис. споживачів. ",2023-10-15,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,даже голубь может угрожать вашей жизни підписатись ,2023-10-16,Other
Всевидящее ОКО 🇺🇦 | Новини Україна," сбу атакувала великий військовий табір біля аеродрому у курській області рф біля військового аеродрому ""халіно"" розміщувались до 3 тисяч російських військових та 80 одиниць військової техніки. ураження були потужними — щонайменше 18 влучань дронів сбу по табору. підписатись ",2023-10-18,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"upd: парень, который якобы лежит на асфальте — достаточно известный тиктокер в полиции киева не подтвердили вызов по этому случаю, но и в его социальных сетях никакого опровержения нет. подписчики бомбят в комментариях на странице блогера вопросами, что с их кумиром. хайпует что ли? ",2023-10-24,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"нацбанк випустив пам’ятну монету «українська мова» це присвячено дню української писемності та мови. її номінал — 10 гривень, а тираж — до 5 тисяч штук. придбати цю цікавинку можна в інтернет-магазині нбу за 2,221 грн. підписатись ",2023-10-27,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,"мужики, для вас найден лайфхак на зиму поделись находкой с другом, чтобы он тоже не замёрз. ",2023-10-29,Other
Всевидящее ОКО 🇺🇦 | Новини Україна,"нічого незвичайного, просто патріот олег ляшко разом зі своїм охоронцем п'яні співають російські пісні ляшко минулого року прийняв присягу і мав би бути на фронті. як, власне, і його охоронець, який зараз живе в києві і отримує 100 тисяч бойових. підписатись ",2023-10-31,Political
Всевидящее ОКО 🇺🇦 | Новини Україна,"заказчик - ""укрпошта"" ",2023-10-31,Economical
Всевидящее ОКО 🇺🇦 | Новини Україна,вибух у дніпрі підписатись ,2023-11-01,Crisis
Всевидящее ОКО 🇺🇦 | Новини Україна,"стоимость земли в украине за 9 месяцев выросла на 10,4% – до 38,5 тыс. грн/га ",2023-11-02,Economical
