channel_name,text,date,
Новинач,"Залужний опублікував підсумки 2022 року для ЗСУ: 

• Збройні сили звільнили майже 40 000 км² території;

• На території 17 країн 20 000 українських бійців пройшли підготовку;

• З районів ведення воєнних дій евакуйовано 600 000 цивільних;

• На деокупованих територіях та в районах ведення бойових дій доставлено та розподілено понад 2 000 000 тонн гуманітарної допомоги;

• Силами ЗСУ від вибухових пристроїв очищено 1 346 гектарів території, знищено майже 42 000 вибухонебезпечних предметів;

• Майже 29 000 військових отримали державні нагороди, звання ""Герой України"" присвоєно 160 особам",2023-01-02,Crisis
Новинач,"ДБР [провело](https://t.me/DBRgovua/3042) обшуки в маєтку Володимира Сальдо.

Виявили документи з прямими вказівками до вчинення злочинів проти України, а також посібник ""Радость сексу. Книга о премудростях любви""",2023-01-06,Corruption
Новинач,"Головне про трагедію в Броварах:

• Небо помилок не пробачає, але про причини говорити зарано, заявив речник Повітряних Сил ЗСУ;

• Генпрокуратура [розглядає](https://t.me/pgo_gov_ua/8864) всі можливі версії аварії гвинтокрила. Досудове розслідування доручено слідчим СБУ;

• Керівництво** **МВС летіло на гвинтокрилі у відрядження в одну з ""гарячих"" точок — ЗМІ з [посиланням](https://t.me/ukrinform_news/89568) на слова заступника керівника ОП Тимошенка;

• Офіс президента [просить](https://t.me/tymoshenko_kyrylo/3503) свідків події оперативно звернутися в поліцію, щоб з‘ясувати обставини трагедії",2023-01-18,Crisis
Новинач,"США[ визнає](https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-1-20-23/h_7f6803d0ca2e8c3509870600d6bc23de) ""ПВК Вагнера"" міжнародною злочинною організацією — CNN з посиланням на заяву речника Ради нацбезпеки Джона Кірбі",2023-01-20,Political
Новинач,"НАБУ та САП ""з огляду на резонансні публікації у ЗМІ"" [почало](https://t.me/nab_ukraine/1491) розслідування щодо ймовірних зловживань Міноборони при закупівлі продуктів харчування для ЗСУ",2023-01-23,Corruption
Новинач,"Вищий антикорупційний суд [відмовив](https://biz.liga.net/ua/all/tek/novosti/vaks-otkazalsya-arestovat-byvshego-glavu-pravleniya-naftogaza-koboleva) в арешті ексглави ""Нафтогазу"" Андрія Коболєва. 

Нагадаємо, його підозрюють у заволодінні понад 229 млн грн у вигляді премії",2023-01-23,Corruption
Новинач,Зеленський [підписав](https://www.president.gov.ua/documents/282023-45621) указ про звільнення Тимошенка з посади заступника керівника ОП,2023-01-24,Political
Новинач,"Директора департаменту закупівель Міноборони Богдана Хмельницького також було звільнено після скандалу з харчами.

Про це, як [повідомляє](https://www.facebook.com/100000654583118/posts/pfbid0nwAJBz4wHXEPPpfT9zDyeVYqURupCaXDsQB6M54vB64RARAAJifFe8xBVBPev1eJl/) Голова Комітету ВР з питань антикорупційної політики, заявив Резніков на засіданні.

В серпні у Хмельницького проходив [обшук](https://www.pravda.com.ua/news/2022/08/31/7365513/) в рамках справи про розкрадання $580 тисяч під час закупівлі амуніції. УП писало, що в його дивані знайшли гроші, але Міноборони спростувало це і додало, що жодних підозр він не отримував",2023-01-25,Corruption
Новинач,"Мінфін США визнав ""ПВК Вагнер"" транснаціональною злочинною організацією та [запровадив](https://home.treasury.gov/news/press-releases/jy1220) розширені санкції",2023-01-26,Political
Новинач,"Юрія Бойка поки що не будуть позбавляти звання Героя України, адже Шмигаль [не знайшов](https://www.chesno.org/post/5492/) достатньо підстав для застосування санкцій щодо нього.

Нагадаємо, петиція про позбавлення Бойка звання Героя зібрала понад 26 тисяч голосів.

Тоді президент доручив справу прем'єр-міністру, але зазначив, що позбавити звання можуть у випадку засудження нагородженого за тяжкий злочин або в якості санкції (але за певних умов — [ст. 1 п. 2](https://zakon.rada.gov.ua/laws/show/1644-18#Text))",2023-01-30,Corruption
Новинач,"За підсумками 2022 року Україна [отримала](https://cpi.ti-ukraine.org/#/) +1 бал в Індексі сприйняття корупції (це покращення) і посідає 116 місце зі 180 країн.

Тепер в нас 33 бали зі 100 (+8 за 10 років) — стільки ж має Алжир, Ангола, Замбія, Монголія, Сальвадор та Філіппіни",2023-01-31,Corruption
Новинач,"Футболка Новинача побувала на росТБ — маленьке, але досягнення.

До речі, це уривок з [30-хвилинного стендапу](http://bit.ly/3RcYB8r) нашого друга Антона Тимошенка.

Також є версія на 100 хвилин, яку можна придбати тут: anton-tymoshenko.com — 20% від продажів повної версії Антон відправляє на потреби ЗСУ",2023-02-01,Other
Новинач,"ДБР [затримало](https://t.me/DBRgovua/3123) злочинну групу, яка привласнювала кошти, виділені на харчування військовослужбовців ЗСУ.

Вони, зокрема, продавали яйця по 17 гривень",2023-02-02,Corruption
Новинач,СБУ [викрила](https://t.me/SBUkr/6937) посадовців Міноборони на розкраданні 5 млн грн під час будівництва казарм для військових на Миколаївщині,2023-02-03,Corruption
Новинач,"Резніков [оприлюднив](https://www.facebook.com/reznikovoleksii/posts/pfbid034MpWXtx33guq9Ayzv3hSpvUeGBG1b9Md1FAnWokYhrxZxpKAn7L9uuGpLranvbQEl) список із 13 представників, які увійдуть до робочої групи по створенню антикорупційного дорадчого органу при Міноборони.

Серед них ГО Разом проти корупції, Демсокира, ГО Стоп корупції, ВО Автомайдан та інші.

Крім того, міністр оборони [анонсував](https://www.facebook.com/reznikovoleksii/posts/pfbid022B2aZpbreBqVYwbkNq9VeUxo7XyrFKCaFT8HbN8zT1vE8hULUPGCPMKm4HNdLZeXl) кадрове оновлення відомства, зокрема — каже, що будуть нові заступники міністра.

Один із кандидатів на посаду заступника є засновник ""Повернись живим"" Віталій Дейнега, який вже [підтвердив](https://www.facebook.com/deynega/posts/pfbid074YBoAnx815bwZ14pAiV5o49DHf7yCnrZb7XEdHcXpwKENUMZA8UzSiGSi2ZVfNHl), що претендує на цей пост",2023-02-13,Corruption
Новинач,"Головне станом на зараз:

• Окупанти [накопичують](https://hromadske.ua/posts/rosiya-nakopichuye-aviaciyu-bilya-kordoniv-z-ukrayinoyu-yaku-mozhe-vikoristati-dlya-pidtrimki-svogo-nastupu-ft) біля кордонів з Україною авіацію, оскільки її сухопутні сили виснажені — FT;

• З польского МЗС [звільнили](https://gpcodziennie.pl/813526-polska-dyplomacja-wolna-od-rosyjskiego-mgimo.html) усіх дипломатів, що були випускниками московського державного інституту міжнародних відносин;

• ГУР співпрацює із людьми з оточення путіна та найвищих ешелонів кремля — [повідомив](https://news.liga.net/ua/politics/news/u-budanova-zayavili-gur-sotrudnichaet-s-okrujeniem-putina-eto-storonniki-velikoy-rossii) представник розвідки Андрій Черняк;

• Поліцейська евакуаційна група ""Білі Янголи"" [вивезла](https://www.npu.gov.ua/news/ekipazh-bilyi-ianhol-vyviz-100-vidsotkiv-ditei-z-vuhledaru) з Вугледару останню дитину;

• Вищий антикорупційний суд [очолила](https://hcac.court.gov.ua/hcac/pres-centr/news/1382711/) суддя Віра Михайленко; 

• Завтра Київ, Київщина та Дніпропетровщина [знову](https://t.me/dtek_ua/285) без відключень світла",2023-02-14,Political
