channel_name,text,date,
Экономика,"Президент Владимир Путин подписал закон, который предусматривает упрощение получения вида на жительства (ВНЖ) в России для иностранцев, заключившим контракт о службе в армии во время военной операции на Украине на срок один год. Мера распространяется и на членов семей таких иностранцев. Документ опубликован на портале правовой информации.

Они смогут получить вид на жительство без получения разрешения на временное проживание.

Законом также вводится упрощенный порядок получения ВНЖ для иностранных граждан, которые инвестировали в российскую экономику, и их семьям. Дополнительные критерии определит правительство.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Президент России Владимир Путин подписал закон по обеспечению сохранности жилья и имущества осужденных в то время, пока они отбывают наказание.

Согласно новому закону, гл. 39 Уголовно-процессуального кодекса Российской Федерации дополняется новой ст. 3131, включающей меры по обеспечению сохранности имущества и жилья, которые остались без присмотра на время отбывания наказания осужденным.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Political
Экономика,"Внутриполитические события 23–25 июня (в это время в России случился мятеж частной военной компании «Вагнер») «оказали незначительное влияние» на месячную динамику рубля, говорится в обзоре рисков финансовых рынков, который подготовил Банк России. При этом в ЦБ признают, что в эти даты волатильность курса значительно выросла на фоне повышенного спроса на валюту.

«Резкий рост неопределенности способствовал краткосрочному всплеску котировок на покупку иностранной валюты в банках. Котировки на покупку валюты колебались в широком диапазоне. При этом физические лица приобрели в выходные дни иностранной валюты на 6,2 млрд руб., 75% от этого объема пришлось именно на безналичную иностранную валюту», — отмечается в обзоре.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Цены на лук в этом году рекордно выросли из-за аномальных заморозков в странах Центральной Азии, российские власти уже работают над сменой поставщиков. Кроме того, в стране в ближайшее время соберут урожай, и цены на лук снизятся, заявили в пресс-службе Минсельхоза России.

Центральноазиатские страны являются ключевыми поставщиками лука в Россию — оттуда страна импортирует около 10% своих запасов, пояснили в ведомстве. В этом году Россия не сможет закупить в этих странах необходимый объем урожая, однако взамен наращиваются поставки из Китая и Азербайджана
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Прибыль Сбера за половину 2023 года — 727,8 млрд рублей

Банк сегодня отчитался по российским стандартам бухгалтерской отчетности. Кредитный портфель Сбера с начала года продемонстрировал рост на 11,5%, до 34,3 трлн рублей. Средства как физлиц, так и юрлиц выросли более чем на 8% — до 19,8 и 9,4 трлн рублей соответственно. Количество активных клиентов превысило 107 млн человек, а ежемесячная аудитория Сбербанк Онлайн достигла 80 млн. 

Июнь стал лучшим месяцем в истории по выдаче розничных кредитов. Всего в прошлом месяце Сбера выдал таких кредитов на 720 млрд рублей. При этом чистая прибыль Сбера за июнь составила 138,8 млрд рублей — финансово положительный результат принесло закрытие сделки по продаже бизнеса в Европе.
Если тенденция по столь высокой чистой прибыли продолжится, то уже по итогам года Сбер может заработать 1,4 трлн рублей — это больше, чем прошлый рекорд в докризисном 2021 году (1,2 трлн рублей). При этом следует учитывать, что и дивиденды в таком случае будут еще больше, чем в этом году.

[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Общественная палата (ОП) и Совет по попечительству в соцсфере при правительстве предложили выявлять бездомных людей, идентифицировать их с помощью полиции и отправлять на работу, сообщается со ссылкой на письмо членов правительственного совета Натальи Починок и Елены Тополевой-Солдуновой (состоит в ОП) в Минтруд и Минздрав.

Вместе с письмом они направили проект минсоцразвития Подмосковья о порядке взаимодействия между органами государственной власти и организациями региона «по выявлению и жизнеустройству лиц без определенного места жительства». Такой проект общественники рекомендовали использовать во всех регионах.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Турция может ориентироваться на Запад, но в Европе ее «никто не хочет видеть», заявил журналистам пресс-секретарь президента Дмитрий Песков.

«Мы знаем, что в истории Турецкой Республики были периоды интенсивного ориентирования на Запад, были периоды менее интенсивного, но также мы прекрасно знаем, что, если называть вещи своими именами, Турцию никто не хочет видеть в Европе, я имею в виду европейцев», — сказал Песков. Он посоветовал турецким партнерам «не носить розовые очки» по этому поводу.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Political
Экономика,"Магия кино в реальности довольно прозаична: 20-часовые смены, вечно сорванные дедлайны и невписывание в бюджеты. За сутки работы порой снимают только пару минут фильма. Всю изнанку столичного кинематографа рассказывает и показывает новый проект «[Кино в Москве. Бэкстейдж](https://t.me/backstage_moscow)».

Подписывайтесь: https://t.me/backstage_moscow",2023-07-11,Other
Экономика,"Минфин России согласился замедлить темпы повышения минимального срока владения новым типом индивидуальных инвестиционных счетов (ИИС) для получения налогового вычета. По данным, в первые три года после появления на рынке ИИС третьего типа инвесторы смогут держать счета открытыми пять лет, затем минимальный срок владения ежегодно будет повышаться до итоговой планки в десять лет.

Договоренности были достигнуты на совещании Минфина с участниками фондового рынка в конце июня, далее инициативу обсудят на заседании Госдумы. Минимальный срок владения ИИС будет ежегодно увеличиваться на один год или больше — в зависимости от популярности инструмента среди инвесторов.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Президенту России Владимиру Путину не удастся сломать НАТО, особенно пока генсеком Североатлантического альянса остается Йенс Столтенберг, заявил президент США Джо Байден.

«Президент Путин все еще думает, что может сломать НАТО, но он этого не сможет сделать, особенно когда ты с нами», — сказал Байден Столтенбергу, приветствуя его на саммите НАТО в Вильнюсе. Он добавил, что очень важно, что Столтенберг продолжает стоять во главе НАТО во время украинского конфликта. «Никто не знает ситуацию лучше, чем ты. И это исторический момент, Финляндия и Швеция вступают в НАТО, твое лидерство играет большую роль», — добавил американский президент.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Political
Экономика,"Berkshire Hathaway Energy — подразделение инвестиционной компании Уоррена Баффета — договорилась о покупке 50%-ной доли в СПГ-проекте Cove Point, принадлежащей Dominion Energy, за $3,3 млрд.

В результате сделки доля Berkshire в проекте увеличится до 75%, а оставшиеся 25% будут принадлежать подразделению Brookfield Infrastructure Partners. Холдинг Уоррена Баффета впервые приобрел долю в Cove Point в 2020 году.

Cove Point расположен на побережье Чесапикского залива в штате Мэриленд, примерно в 97 км от Вашингтона.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-11,Economical
Экономика,"Российские военные уничтожили с начала контрнаступления Украины более 26 тыс. военных, а также 17 танков Leopard, пять французских колесных танков АМХ и 12 американских БМП Bradley. Об этом заявил министр обороны Сергей Шойгу.

Всего с начала контрнаступления, по словам Шойгу, российские военные уничтожили 1244 единицы бронетехники. Среди уничтоженных также 43 американских гаубицы M777 и 46 самоходок из Польши, Франции и США. Российскими средствами ПВО были сбиты 176 снарядов HIMARS, 27 крылатых ракет Storm Shadow. Был уничтожен 21 самолет ВСУ.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Shelling
Экономика,"Страны — члены НАТО согласились отменить для Украины первый этап процесса вступления в альянс и не обязывать ее выполнять план действий по подготовке к членству, сообщил генеральный секретарь НАТО Йенс Столтенберг.

«Сегодня страны-члены согласились послать сильный единый позитивный сигнал Украине о постоянной поддержке, но также и сигнал о ее пути к членству. Это включает пакет практической поддержки, который позволит достичь полной совместимости украинских и НАТОвских войск, создание совета Украина-НАТО, а также решение отменить план действий по членству, что значит, что вместо двух шагов для того, чтобы стать членом (НАТО), понадобится только один шаг», — сказал Столтенберг на пресс-конференции «на полях» саммита НАТО в Вильнюсе.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Political
Экономика,"Россия воздерживается от применения в спецоперации на Украине кассетных боеприпасов, хотя они есть на вооружении, заявил министр обороны Сергей Шойгу. По его словам, российские кассетные боеприпасы намного эффективнее американских.

«В то же время Россия, понимая, какую угрозу несут такие боеприпасы для мирного населения, воздерживалась и воздерживается от их применения в спецоперации», — сказал глава Минобороны.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Political
Экономика,"Российское Минобороны заинтересовано в модернизации парка бронетранспортеров МТЛБ, заявил глава ведомства Сергей Шойгу на совещании в ходе проверки оборонных предприятий в Татарстане. Слова министра приводит пресс-служба Минобороны.

При посещении завода «Ремдизель» Шойгу осмотрел в том числе линию по модернизации этих бронетранспортеров. «Сейчас все идет по графику, что-то с опережением. Если возможность есть, надо увеличивать темпы», — сказал он в ходе проверки.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Political
Экономика,"Акции разработчика игр Activision Blizzard по итогам торгов во вторник, 11 июля, подскочили на бирже NASDAQ на 10,02%, до $90,99. Бумаги компании подорожали до максимума с 26 июля 2021 года. 

Окружной суд США Северного округа Калифорнии отклонил ходатайство Федеральной торговой комиссии (FTC) о судебном запрете на сделку. Судья в своем решении написала, что антимонопольный регулятор не смог предоставить убедительных доказательств того, что покупка создателя игры Call of Duty может значительно подорвать конкуренцию в индустрии.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Economical
Экономика,"Сообщения о том, что бойцы ЧВК «Вагнер» во время мятежа дошли до складов ядерного оружия «Воронеж-45», являются вбросом. Об этом заявил журналистам пресс-секретарь президента России Дмитрий Песков.

«У Кремля нет такой информации», — сказал Песков. «Похоже на очередной вброс», — добавил он.

О том, что бойцы ЧВК «Вагнер» во время мятежа дошли до складов, накануне сообщал глава военной разведки Украины Кирилл Буданов. Агентству Reuters он заявил, что бойцы ЧВК не смогли попасть внутрь хранилища из-за закрытой двери.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Political
Экономика,"Главный стратег по глобальным рынкам JPMorgan Марко Коланович полагает, что в 2023 году американский фондовый рынок полностью перешел на территорию FOMO, или страха упущенных возможностей, сообщает издание Business Insider. Страх упустить возможность поучаствовать в росте заставляет людей инвестировать в фондовый рынок.

По его словам, фондовый рынок США уже выглядит переоцененным, и это касается не только технологического сектора, который сильно вырос в первом полугодии. Форвардное соотношение цены к прибыли S&P 500 (forward price-to-earnings ratio) сейчас составляет 19,4x. Если не учитывать технологические акции и акции компаний, связанных с искусственным интеллектом, оставшиеся 65% акций из индекса S&P 500 торгуются с коэффициентом 17,4x. В общем, недешево, так как исторический форвардный P/E индекса S&P 500 составляет 15,3x, а это означает, что текущие оценки акций представляют собой премию в 10%, сообщил Коланович.
[𝔼ℂ𝕆ℕ𝕆𝕄𝕀𝕂𝔸](https://t.me/economika)",2023-07-12,Economical
