channel_name,text,date,
Новинач,"Вночі невідомий БпЛА знову атакував ""москва-сіті"", пошкодивши фасад на 21 поверсі. 

За даними ЗМІ, на цьому поверсі розташоване Міністерство економічного розвитку рф. 

Пошкоджень зазнала та ж сама вежа, що і днями раніше",2023-08-01,Shelling
Новинач,"У Харкові російські дрони-камікадзе зруйнували 2 поверхи одного з гуртожитків та спортивний об'єкт у Шевченківському районі.

Охоронець спорткомплексу отримав поранення, у гуртожитку обійшлося без постраждалих",2023-08-01,Shelling
Новинач,Ще 500 росіян стали нейтральними,2023-08-01,Shelling
Новинач,"З даху штаб-квартири Twitter демонтують літеру Х після чисельних скарг від жителів будинку навпроти.

Люди [скаржилися](https://news.abs-cbn.com/business/08/01/23/musk-removes-giant-flashing-x-sign-after-furor), що новий логотип їх засліплює",2023-08-01,Other
Новинач,"До українського порту [зайшли](https://www.forbes.com/sites/davidaxe/2023/07/31/nato-planes-watched-as-three-civilian-ships-ran-russias-naval-blockade-of-ukraine/?sh=6058691e1b72) три іноземні кораблі — це сталося вперше відтоді, як росія вийшла із зернової угоди.

Відомо, що до Ізмаїлу прибули судна з Ізраїлю, Греції та Туреччини для завантаження зерна, попри блокаду шляхів флотом рф.

За кораблями спостерігали чотири розвідувальні літаки НАТО",2023-08-01,Economical
Новинач,"США уклали договори з Болгарією і Південною Кореєю про постачання 155-мм боєприпасів Україні — Financial Times.

Наразі [тривають](http://eurointegration.com.ua/news/2023/08/1/7166790/) переговори з Японією про те ж саме",2023-08-01,Political
Новинач,"UPD. Відбої 

Повітряна тривога по всій країні. У повітрі МіГ-31К.",2023-08-01,Shelling
Новинач,"росія обстріляла медзаклад у Херсоні, вбивши молодого лікаря, який працював лише кілька днів — [пише](https://t.me/roman_mrochko/1909) ОВА. 

Також поранення дістала медсестра",2023-08-01,Shelling
Новинач,"Андрій зі Львова виграв мініатюрки авто під час вчорашнього збору на рації для ССО.

Рандомайзер обрав 283085 переможною гривнею — саме її задонатив Андрій із загальним внеском 1000 грн.

Вітаємо переможця і ще раз дякуємо усім за донати. Далі буде🖤",2023-08-01,Other
Новинач,UPD. Відбій. Знову тривога по всій країні.,2023-08-01,Shelling
Новинач,"В Україні скасували обмеження на кількість спроб складання практичних іспитів для отримання водійського посвідчення — [повідомили](https://t.me/mvs_ukraine/28039) в МВС. 

Тепер складати іспит можна необмежену кількість разів, а інтервал між спробами становить 10 днів",2023-08-01,Other
Новинач,"Поліція [встановила](https://t.me/Klymenko_MVS/149) особу, яка вчора знімала прильот російської ракети у Кривому Розі.

Матеріали передані до СБУ для прийняття рішення",2023-08-01,Shelling
Новинач,"З монумента ""Батьківщина-мати"" зішкребли радянський герб",2023-08-01,Political
Новинач,"У Львові суд [оштрафував](https://zaxid.net/sud_pokarav_pasazhira_range_rover_za_pisni_lyepsa_v_tsentri_lvova_n1568360) на 51 грн хлопця, який з друзями слухав пісні лєпса, а після зауважень поліз у бійку",2023-08-01,Political
Новинач,UPD.Відбій. Третя масштабна тривога за день. Знову злетів МіГ-31Кал,2023-08-01,Shelling
Новинач,"Головне станом на зараз:

• Правоохоронці [провели](https://www.gp.gov.ua/ua/posts/u-dnipropetrovskogo-vojenkoma-provedeno-obsuki-rozpocato-kriminalne-provadzennya-za-faktom-nezakonnogo-zbagacennya) обшуки у Дніпровського військкома, який за час повномасштабної війни купив майна на $350 000;

• Словаччина [передала](https://twitter.com/LudoOdorPM/status/1686322008605261824?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1686322008605261824%7Ctwgr%5Efa6b5cdd007564abb3c4c4bb94d31f33c2686f63%7Ctwcon%5Es1_&ref_url=https%3A%2F%2Fwww.eurointegration.com.ua%2Fnews%2F2023%2F08%2F1%2F7166810%2F) Україні ще дві самохідні артилерійські установки Zuzana 2; 

• російське міноборони заявило, що вночі відбило атаку морських безпілотників на військові кораблі; 

• росія [скинула](https://suspilne.media/541471-rf-1-serpna-vdarila-aviabombami-po-selisu-u-borivskij-gromadi-harkivsini-zaginula-zinka/) авіабомбу на Першотравневое на Харківщині, є загибла та поранений; 

• Два адміни Telegram-каналу про роздачу повісток [отримали](https://reyestr.court.gov.ua/Review/112016601) умовний термін",2023-08-01,Shelling
Новинач,"Міністр Канцелярії Президента Польщі Марцін Пшидач [заявив](https://mfa.gov.ua/news/komentar-rechnika-mzs-ukrayini-olega-nikolenka-shchodo-vislovlyuvan-ministra-kancelyariyi-prezidenta-polshchi), що українцям варто було б бути більш вдячним та цінувати роль Варшави у допомозі Україні. 

У МЗС України назвали закид ""неприйнятним"" та заявили, що ""українсько-польська дружба є набагато глибшою за політичну доцільність""",2023-08-01,Political
Новинач,"У Первомайському на Харківщині міська рада [провела](https://suspilne.media/541163-u-pervomajskomu-na-harkivsini-proveli-lotereu-na-remont-liftiv-peremozciv-viznacali-za-dopomogou-miska-svatogo-mikolaa/) лотерею, у якій розіграла 10 ремонтів у ліфті.

Переможцями визнали представників під'їздів, які витягли з мішка Святого Миколая зелені кульки",2023-08-01,Political
