channel_name,text,date,
RT на русском,"В Киеве после ночных взрывов повреждены объекты энергетической инфраструктуры, в городе действуют аварийные отключения электричества, сообщил мэр Кличко.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-02,Shelling
RT на русском,"Не менее 15 могил повреждено в результате обстрела ВСУ села Муром в Белгородской области.

Как сообщил глава региона Вячеслав Гладков, некоторые снаряды разрушили также ограды и памятники.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-02,Shelling
RT на русском,"**Лишившийся ноги на Украине французский наёмник обвинил Париж в безразличии к своим гражданам.

**32-летний Максим Броншэн, воевавший на стороне ВСУ, подорвался в лесу на мине и сейчас проходит лечение в Страсбурге.

В беседе с TF1 INFO он отметил, что французское посольство не поддержало его после ранения:

«Франция направляет Украине много оборудования и денег, но не помогает французским гражданам, которые действительно нуждаются в помощи на месте».

В сюжете отмечается, что Броншэну грозит на родине пять лет тюрьмы, а также штраф €75 тыс. за наёмничество.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03,Shelling
RT на русском,"**В Госдуме предложили сократить новогодние выходные до трёх дней.

**С инициативой выступил депутат от «Единой России» Максим Иванов.

Он объяснил РИА Новости, что выходные дни необходимо распределять равномерно, чтобы у людей были не недели отдыха, а по три активных дня: «Надо всё-таки новогодние праздники урезать и сделать их меньше».

При этом Иванов высказался против сокращения выходных на майских праздниках, так как многие россияне занимаются посевной и заняты на даче.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03,Political
RT на русском,"**Александр Коц, спецкор «Комсомольской правды», член СПЧ при президенте, автор Telegram-канала ****@sashakots****

**Валерий Меладзе, попавший в [скандал](https://t.me/rt_russian/142057) в Дубае, решил объясниться. На одном из корпоративов кто-то решил его поддеть. «Слава Украине!» — хрюкнул безвестный оператор за кадром. «Героям слава!» — не моргнул глазом певец. И закономерно нарвался на реакцию из России, которая дала ему чуть меньше, чем всё.

Валерий думал сутки и [написал](https://t.me/rt_russian/142109), как он страдает от того, что два близких народа воюют. И мечтает, чтобы «антагонизм прекратился». То есть лозунг бандеровских недобитков, на который он не колеблясь откликнулся (разве что не зиганул), был его маленьким вкладом в дело «прекращения антагонизма».

А что вы ждали от Валерия Меладзе? Чтобы он с той же непоколебимостью, с какой ответил в Дубае на приветствие УПА (запрещена в РФ), пал на колени и молил о прощении? Вы уверены, что ему это надо?

Помню, уезжал Валерий Меладзе в самом начале специальной военной операции за бугор, кляня «русскую военщину» и власти «проклятой Рашки». И говорили тогда многие, включая и вашего покорного слугу: под ложечкой засосёт — вернётся, как пить дать.

И вернулся Меладзе летом, исхудавший и по публике московской оголодавший. Как будто и не было критики Кремля, зато было интервью Собчак, что рос в Грузии и на Украине, а Россия — это так, возможность заработать. Только эта возможность ему и нужна. И плевать он хотел на ваши (наши) переживания. Он знает, что завтра приедет в Москву и соберёт полный зал. Как собирала Ахеджакова, приехавшая из Израиля поправить материальное положение.

Собственно, проблема возвращенцев, ливших грязь на нашу страну, не только в них самих и их похудевших кошельках. Она в условиях, при которых они не просто возвращаются, но и имеют возможность собирать аншлаги. А в новой России таких условий у них быть не должно.

__Точка зрения автора может не совпадать с позицией редакции.

__ 🟩 [Подпишись на канал «Специально для RT»](https://t.me/+oyIxUZnvh8ZkYzg6)",2023-01-03,Other
RT на русском,"Руслана Хасбулатова похоронят в Чечне, сообщили РИА Новости близкие политика. В Москве прощания не будет.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03,Other
RT на русском,"**3 января

**— Меладзе после появления в сети видео, на котором он, предположительно, [цитирует](https://t.me/rt_russian/142119) лозунг украинских националистов, [опубликовал](https://t.me/rt_russian/142109) антивоенный пост;

— [умер](https://t.me/rt_russian/142122) последний председатель Верховного Совета РСФСР Руслан Хасбулатов;

— в Госдуме [предложили сократить](https://t.me/rt_russian/142083) новогодние выходные до трёх дней;

— в сети [разошёлся](https://t.me/rt_russian/142084) фрагмент эфира французского ТВ, на котором зафиксирован момент удара по, предположительно, пункту ВСУ на ледовой арене под Краматорском;

— ВСУ [нанесли](https://t.me/rt_russian/142117) несколько ударов тяжёлым вооружением по больнице в городе Токмаке Запорожской области;

— на прифронтовой территории ДНР активизировались диверсанты, на приграничных дорогах надо ужесточать контроль, [заявил](https://t.me/rt_russian/142092) Рогозин;

— Путин подписал указ о дополнительных соцгарантиях военнослужащим и поручил Минобороны до 1 февраля представить доклад об обеспечении участников спецоперации всем необходимым;

— Польша [попросила](https://t.me/rt_russian/142102) ООН помочь получить военные репарации от Германии;

— уже десятая страна отозвала признание Косова, [сообщил](https://t.me/rt_russian/142103) глава сербского МИД Ивица Дачич.

#главное_на_RT

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03,Other
RT на русском,"Курс доллара поднялся на Московской бирже до 72 рублей.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-04,Economical
RT на русском,"В предстоящие дни и недели США намерены предоставить украинской армии новую военную помощь, Вашингтон не ожидает скорого прекращения боёв, сообщили в Белом доме.

Новые пакеты военной помощи могут включать дополнительные установки РСЗО HIMARS, отметили в американской администрации.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-04,Political
RT на русском,"**В Харькове демонтировали памятник писателю Николаю Островскому.

**Кто именно снёс монумент, местные СМИ не уточняют. В начале декабря вандалы разрисовали памятник, а активисты требовали демонтировать его из-за участия Островского в Гражданской войне на стороне Красной армии.

Накануне в Днепре убрали памятники [танку Т-34](https://t.me/rt_russian/142172) и [советскому солдату](https://t.me/rt_russian/142143).

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-05,Political
RT на русском,"Эрдоган обсудил с Зеленским урегулирование украинского кризиса, сообщили в администрации турецкого лидера.

Эрдоган вновь предложил посредничество в урегулировании конфликта на Украине.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-05,Political
RT на русском,"Германия предоставит Украине дополнительную батарею ПВО Patriot, сообщили в Белом доме после беседы Байдена с Шольцем.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-05,Political
RT на русском,"Посольство России заявило, что решение ФРГ направить Киеву БМП Marder и дополнительную батарею ЗРК Patriot является очередным шагом к эскалации конфликта, который негативно отразится на отношениях Москвы и Берлина.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-06,Political
RT на русском,"**Джокер забеременел в новом выпуске комикса от DC 🤦‍♂️

**Выпуск под названием «Джокер: Человек, который перестал смеяться» вышел 4 января, пишет The Direct.

По сюжету главный герой проснулся беременным, после того как волшебница наложила на него заклинание. Некоторое время злодей размышлял, каким образом он сможет родить, но потом его стошнило коричневой субстанцией, из которой появился ребёнок.

В 2021 году DC начало выпускать комиксы о супермене-бисексуале [Джоне Кенте](https://t.me/rt_russian/79256). Это сын Кларка Кента и Лоис Лейн. Серию пришлось [закрыть](https://t.me/rt_russian/132090) из-за низких продаж.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-06,Other
RT на русском,"**❗️Международная федерация хоккея не включила сборные России и Белоруссии в составы групп на молодёжный чемпионат мира 2024 года.**

В турнире, который пройдёт с 26 декабря 2023 года по 5 января 2024 года в Гётеборге (Швеция), примут участие 10 команд.

В группе А выступят Канада, Швеция, Финляндия, Германия и Латвия. В группе В сыграют Чехия, США, Словакия, Швейцария и Норвегия.

Победителем молодёжного чемпионата мира 2023 года стала Канада, обыгравшая в финале Чехию. Россия и Белоруссия не участвовали в турнире.

@rttv_sport",2023-01-06,Political
RT на русском,"**Жители Норильска делятся в соцсетях кадрами северного сияния. В городе сегодня -45 °С.

**В ближайшие дни аномальные морозы [ожидаются](https://t.me/rt_russian/142199) на большей части России.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-06,Other
RT на русском,"❗️**Прямая трансляция рождественской службы в храме Христа Спасителя.

**VK: https://vk.com/video-40316705_456386240.

RUTUBE: https://rutube.ru/video/4b7aca58d9c0654b792a0b240c6374ec.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-06,Other
RT на русском,"**Битва за Соледар: главное на текущий момент

**С 30 декабря по 7 января подразделения ВСУ, обороняющие Соледар, потеряли не менее 500 человек убитыми и ранеными. 

По данным Военной хроники, наибольшие потери понесли 1, 2, 3 и 4-й батальоны 46-й отдельной аэромобильной бригады ВСУ. В конце декабря это соединение доукомплектовали мобилизованными из Кировоградской, Сумской и Тернопольской областей, однако из-за отсутствия боевой подготовки больше половины мобилизованных новобранцев погибли через шесть дней после прибытия на фронт.

3 января из-за большого количества безвозвратных потерь командование бригады направило на первую линию обороны роту радиационной, биологической и химической защиты. Через 24 часа после отправки на фронт подразделение перестало выходить на связь и в данный момент считается пропавшим без вести.

После смещения линии фронта в городскую застройку к улицам Льва Толстого и Чернышевского на северо-востоке города, а также к улицам Октябрьской, Набережной и Тенистой на юго-востоке Соледара ВСУ столкнулись с крупными потерями в бронетехнике.

С конца декабря наиболее крупные потери несёт танковый батальон 61-й егерской пехотной бригады ВСУ. На узких подъездных дорогах Соледара танки Т-64БВ и Т-72M1R ВСУ не могут активно маневрировать и уничтожаются расчётами ПТРК «Корнет» и «Конкурс», развёрнутых ЧВК «Вагнер» западнее Яковлевки. 

Помимо расчётов ПТРК, по боевой технике ВСУ с господствующих высот активно работают «реактивные» танки Т-80БВ.

Южнее под огневой контроль орудий «Гиацинт-Б» и «Гиацинт-С» ЧВК «Вагнер» взят участок трассы между селом Благодатное и северо-западным пригородом в районе улицы Советской. Из-за этого в Соледар не могут прибыть подкрепления 17-й танковой бригады ВСУ. Теперь поддержка подразделений ВСУ внутри кварталов тяжёлой техникой осложняется не только из-за боёв на узких улицах, но и из-за невозможности быстро перебросить новую бронетехнику и подкрепления.

☠[Подписывайтесь на Военную хронику](https://t.me/+vA_qwxP_ANNkYzQy)",2023-01-07,Shelling
RT на русском,"**В Госдуме попросят СК возбудить уголовное дело в отношении уехавшего из страны актёра Артура Смольянинова.

**Об этом сообщил РИА Новости депутат Султан Хамзаев.

Смольянинов ранее заявил, что если бы воевал, то «только на стороне Украины», что ему «наплевать, в какой форме останется Россия», даже если это будет только один регион, а «всё остальное превратится в радиоактивный пепел».

«Считаю, что этот беглый артист должен повторить путь [Александра] Невзорова* (признан иноагентом) с уголовным делом. У таких актеров должно быть незамедлительное аннулирование контрактов по всем государственным заказам — фильмам», — отметил Хамзаев.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-08,Political
RT на русском,"8 января, Военная хроника. Главные события этого дня. 

☠[Подписывайтесь на Военную хронику](https://t.me/+vA_qwxP_ANNkYzQy)",2023-01-08,Shelling
RT на русском,"**Большинство немцев (64%) хотят отставки главы Минобороны Германии Кристины Ламбрехт.

**Об этом сообщает Bild со ссылкой на результаты исследования института изучения общественного мнения INSA.

Лишь 15% опрошенных выступают против её отставки. Вместе с тем плохим министром обороны Ламбрехт назвали 59% респондентов, а хорошим — 9%.

Ранее главу Минобороны ФРГ уже критиковали за идею передать Киеву [каски](https://t.me/rt_russian/91068). Также сообщалось, что ни одна из 18 БМП Puma, которые должно было использовать НАТО, [не готова к работе](https://t.me/rt_russian/140653).

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-09,Political
RT на русском,"Самолёт Ан-2 с десятью пассажирами и двумя членами экипажа совершил жёсткую посадку в Ненецком автономном округе, сообщило РИА Новости со ссылкой на объединённый авиаотряд округа.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-09,Other
