channel_name,text,date,
"Податки, бізнес, економіка",https://sud.ua/ru/news/publication/230704-torgovo-promyshlennaya-palata-ukrainy-zasvidetelstvovala-fors-mazhor-iz-za-agressii-rf-dokument,2022-02-27,Other
"Податки, бізнес, економіка",https://m.facebook.com/story.php?story_fbid=4675775575854397&id=100002660029319,2022-02-27,Other
"Податки, бізнес, економіка",))),2022-03-01,Other
"Податки, бізнес, економіка",⚡️Президент Володимир Зеленський подав до Верховної Ради законопроект про **продовження режиму воєнного стану** ще **на 30 днів** з 24 березня.,2022-03-14,Political
"Податки, бізнес, економіка","Шановні військові та волонтери.

Час серйозно поговорити з Вами про використання супутникових терміналів.
1) При використанні терміналів систем звʼязку Thuraya, Iridium, GlobalStar, Inmarsat, тощо – ваші розмови доступні ворогу. Це не ЗАКРИТИЙ звʼязок, з точністю навпаки, цей канал звʼязку можна перехоплювати з великої відстані. Те саме стосуєтья СМС, те саме відправка координат – будь які сервіси! Не повідомляйте своє місцезнаходження, чисельність підрозділів, тактичні та оперативно-тактичні можливості, назви підрозділів по телефону та плани (ПЕРЕСТАНЬТЕ П*****ТИ – ВОРОГ СЛУХАЄ!).
2) При використанні окремих терміналів (зокрема Thuraya), Ваш телефон передає Ваше місцеположення з точністю 40 метрів (це достатня точністю для враження артилерії, без додаткової дорозвідки).
БУДЬ ЛАСКА ВИКОРИСТОВУЙТЕ ЦІ ТЕРМІНАЛИ ТІЛЬКИ У ВИПАДКУ КРИТИЧНИХ СИТУАЦІЙ, РОЗУМІЮЧИ, ВСІ ВИЩЕВКАЗАНІ ОБСТАВИНИ.
Волонтери (KOLO   Повернись живим Зграя Владимир Степанец ), будь ласка:
1. Допоможіть поширити цей допис, доведіть всім кому вже поставили ці термінали під підпис. Дуже багато зайвої інформації для ворога.
2. В подальшому закупайте термінали isat phone 2 (приклад - https://satphone.com.ua/IsatPhone2.php). Це не ЗАКРИТІ ТЕЛЕФОНИ теж, але мають багато переваг у порівнянні з іншими.

З Повагою, Iaroslav Kalinin

ТОВ ""НВЦ ""ІНФОЗАХИСТ""",2022-03-20,Other
"Податки, бізнес, економіка","Верховна Рада України 19 червня підтримала законопроєкт №6287 «Про внесення змін до деяких законів України щодо стимулювання розвитку українського книговидання і книгорозповсюдження». Про це повідомив народний депутат Ярослав Железняк. Законопроєкт отримав 314 голосів «за».

Документ був внесений 64 депутатами з різних фракцій ще торік. Він передбачає підтримку книгарень, що продають книжки українською мовою, а також державні сертифікати на купівлю книг для дітей",2022-06-19,Political
"Податки, бізнес, економіка","Не виконано зобов’язання рф за зовнішнім боргом (27 травня 2022 — строк погашення) в сумі 110 млн дол. США. 
Які дії кредиторів❓
✅ арешт майна за кордоном;
✅ вимоги щодо російських валютних резервів, заарештованих країнами Євросоюзу, Великою Британією та Японією (300 млрд дол.).
Нагадую: на травень 2022 року року загальний розмір міжнародних валютних резервів рф становив 593 млрд дол. З початку війни вони зменшилися на 50 млрд дол.",2022-06-27,Economical
"Податки, бізнес, економіка","🗓 Ну і головна цифра - видатки Бюджету за липень склали **175 млрд грн.

👏**Це дуже круто, адже ще місяць тому у нас видатки були 232 млрд, а в травні взагалі 250 млрд. 

🧮Виходить:
86,9 млрд податкова та митниця
22,5 млрд військові облігації
27,5 млрд «надрукував» НБУ

Залишається 38,1 млрд закрити зовнішньою допомогою.

P.S. Правда тут не враховані міліардні заборгованості бюджету перед Міноборони та не повернуте ПДВ. Так що по-факту більше.",2022-08-01,Economical
"Податки, бізнес, економіка","**#ЦПД_спростовує**** основні фейки про звільнення з роботи у воєнний час

❌ Фейк
**Робітник не з’являється на роботі, а телефон вимкнений. Такого працівника неможливо звільнити.

✅ [Ст.36 КЗпП](https://zakon.rada.gov.ua/laws/show/322-08#Text) доповнили пунктом 8-3 і тепер підставою для звільнення є відсутність працівника на роботі та інформації про причини такої відсутності понад чотири місяці поспіль.

**❌ Фейк
**Я власник заводу, який у зв’язку з відсутністю сировини, не працює. Тепер нікого не можу звільнити.

✅ Неможливість забезпечення працівника роботою – це додаткова підстава розірвання трудового договору з ініціативи роботодавця згідно п.6 ст.41 КЗпП. При такому звільненні не застосовують гарантії, передбачені ст.49-2 КЗпП.

**❌ Фейк
**Я вважаю, що мене звільнили незаконно. Копію наказу про звільнення я не отримав. Строк пройшов.

✅ Строк звернення до суду за вирішенням трудових спорів – 1 місяць з дня вручення копії наказу та 3 місяці з дня одержання письмового повідомлення про суми виплат при звільненні (ст.233 КЗпП).
 
#інфотерор

[TG](https://t.me/CenterCounteringDisinformation) | [FB](https://facebook.com/100076172237107/) | [INST](https://instagram.com/cpd.gov.ua) | [YT](https://www.youtube.com/channel/UC1BZKHwDWZO4IJcE9QZ6VXQ) | [TW](https://twitter.com/CforCD)",2022-08-07,Economical
"Податки, бізнес, економіка",Президент запропонував ВР продовжити термін дії воєнного стану в Україні з 23 серпня 2022 року терміном на 90 діб,2022-08-12,Political
