channel_name,text,date
Новинач,"Залужний опублікував підсумки 2022 року для ЗСУ: 

• Збройні сили звільнили майже 40 000 км² території;

• На території 17 країн 20 000 українських бійців пройшли підготовку;

• З районів ведення воєнних дій евакуйовано 600 000 цивільних;

• На деокупованих територіях та в районах ведення бойових дій доставлено та розподілено понад 2 000 000 тонн гуманітарної допомоги;

• Силами ЗСУ від вибухових пристроїв очищено 1 346 гектарів території, знищено майже 42 000 вибухонебезпечних предметів;

• Майже 29 000 військових отримали державні нагороди, звання ""Герой України"" присвоєно 160 особам",2023-01-02
Новинач,"ДБР [провело](https://t.me/DBRgovua/3042) обшуки в маєтку Володимира Сальдо.

Виявили документи з прямими вказівками до вчинення злочинів проти України, а також посібник ""Радость сексу. Книга о премудростях любви""",2023-01-06
Новинач,"Головне станом на зараз:

• СБУ [ідентифікувала](https://t.me/SBUkr/6587) російських військових, які причетні до удару по Дніпру. Це солдати та офіцери 52-го важкого бомбардувального авіаційного полку;

• [Шмигаль](https://t.me/Denys_Smyhal/4313): цього тижня Україна очікує отримати перший транш від ЄС у розмірі €3 млрд. Це частина** **макрофінансової допомоги на €18 млрд;

• Україна [передала](https://www.ukrinform.ua/amp/rubric-society/3652852-dmitro-lubinec-upovnovazenij-verhovnoi-radi-ukraini-z-prav-ludini.html) росії список 800 важкопоранених військових, яких, згідно з Женевською конвенцією, мають повернути без жодних умов;

• Spiegel: Німеччина [розпочала](https://www.spiegel.de/ausland/russland-ukraine-news-am-montag-zahl-der-toten-in-dnipro-steigt-weiter-a-26b38d0a-fcfa-41ae-a7d2-fb602d89e4d5) процес перекидання ППО Patriot до Польщі;

• ДБР [викрило](https://dbr.gov.ua/news/dbr-blokuvalo-shhe-odnu-shemu-masshtabnogo-rozkradannya-produktiv-harchuvannya-dlya-vijskovih) масштабну схему розкрадання харчових продуктів для військових",2023-01-16
Новинач,"Головне про трагедію в Броварах:

• Небо помилок не пробачає, але про причини говорити зарано, заявив речник Повітряних Сил ЗСУ;

• Генпрокуратура [розглядає](https://t.me/pgo_gov_ua/8864) всі можливі версії аварії гвинтокрила. Досудове розслідування доручено слідчим СБУ;

• Керівництво** **МВС летіло на гвинтокрилі у відрядження в одну з ""гарячих"" точок — ЗМІ з [посиланням](https://t.me/ukrinform_news/89568) на слова заступника керівника ОП Тимошенка;

• Офіс президента [просить](https://t.me/tymoshenko_kyrylo/3503) свідків події оперативно звернутися в поліцію, щоб з‘ясувати обставини трагедії",2023-01-18
Новинач,"США[ визнає](https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-1-20-23/h_7f6803d0ca2e8c3509870600d6bc23de) ""ПВК Вагнера"" міжнародною злочинною організацією — CNN з посиланням на заяву речника Ради нацбезпеки Джона Кірбі",2023-01-20
Новинач,"НАБУ та САП ""з огляду на резонансні публікації у ЗМІ"" [почало](https://t.me/nab_ukraine/1491) розслідування щодо ймовірних зловживань Міноборони при закупівлі продуктів харчування для ЗСУ",2023-01-23
Новинач,"Вищий антикорупційний суд [відмовив](https://biz.liga.net/ua/all/tek/novosti/vaks-otkazalsya-arestovat-byvshego-glavu-pravleniya-naftogaza-koboleva) в арешті ексглави ""Нафтогазу"" Андрія Коболєва. 

Нагадаємо, його підозрюють у заволодінні понад 229 млн грн у вигляді премії",2023-01-23
Новинач,"Головне станом на зараз:

• Бізнес-партнер Єрмака [почав](https://bihus.info/partner-yermaka-pislya-jogo-pryznachennya-v-op-pochav-aktyvno-vhodyty-v-biznes-stolara-medvedchuka/?fbclid=IwAR3QZuTU0BpeihJNEQbnV3H7_XVsIyiJ_yuwHPtja-ZlDaUABlQn4ck3xAU) активно входити в будівельний бізнес Столара-Медведчука — BihusInfo;

• Окупанти [обстріляли](https://t.me/pavlokyrylenko_donoda/6385?single) житлові квартали у Часовому Яру на Донеччині: одна людина загинула, двоє поранені;

• Євросоюз [схвалив](https://suspilne.media/364964-es-shvaliv-vijskovu-dopomogu-ukraini-na-500-miljoniv-evro-borrel/) новий транш військової допомоги Україні розміром €500 млн — підтвердив Боррель;

• ВАКС [конфіскував](https://www.epravda.com.ua/news/2023/01/23/696272/) активи російського мільярдера Шелкова в Україні;

• Джерела Бабелю [стверджують](https://babel.ua/news/89690-kirilo-timoshenko-napisav-zayavu-pro-vidstavku), що для Тимошенка готують іншу посаду — керівника однієї з обласних адміністрацій",2023-01-23
Новинач,Зеленський [підписав](https://www.president.gov.ua/documents/282023-45621) указ про звільнення Тимошенка з посади заступника керівника ОП,2023-01-24
Новинач,"Директора департаменту закупівель Міноборони Богдана Хмельницького також було звільнено після скандалу з харчами.

Про це, як [повідомляє](https://www.facebook.com/100000654583118/posts/pfbid0nwAJBz4wHXEPPpfT9zDyeVYqURupCaXDsQB6M54vB64RARAAJifFe8xBVBPev1eJl/) Голова Комітету ВР з питань антикорупційної політики, заявив Резніков на засіданні.

В серпні у Хмельницького проходив [обшук](https://www.pravda.com.ua/news/2022/08/31/7365513/) в рамках справи про розкрадання $580 тисяч під час закупівлі амуніції. УП писало, що в його дивані знайшли гроші, але Міноборони спростувало це і додало, що жодних підозр він не отримував",2023-01-25
Новинач,"Головне станом на зараз: 

•  Окрім танків M1 Abrams, в черговий пакет допомоги від США [увійшли](https://www.defense.gov/News/Releases/Release/Article/3277443/biden-administration-announces-additional-security-assistance-for-ukraine/) вісім тактичних машин, допоміжні транспортні засоби, фінансування навчання тощо;  

•  У Білому домі [очікують](https://www.eurointegration.com.ua/news/2023/01/25/7154894/), що ЗСУ почнуть навчання на Abrams протягом тижнів, а не місяців; 

• Залужний [закликав](https://www.pravda.com.ua/news/2023/01/25/7386532/) ретельно перевірити звинувачення в корупції на адресу Міноборони та не перекладати відповідальність підлеглих на керівника; 

• UEFA [позбавила](https://www.uefa.com/insideuefa/news/027d-1727b3b1e199-61019185e2c8-1000--new-formats-for-uefa-men-s-national-team-competitions-app/) росію права проводити Суперкубок-2023 у Казані. Він відбудеться в Афінах;  

• Зеленський [вважає](https://www.president.gov.ua/news/mayemo-sformuvati-takij-tankovij-kulak-svobodi-pislya-udariv-80621), що після рішення про танки Україна має вийти на постачання літаків",2023-01-25
Новинач,"Мінфін США визнав ""ПВК Вагнер"" транснаціональною злочинною організацією та [запровадив](https://home.treasury.gov/news/press-releases/jy1220) розширені санкції",2023-01-26
Новинач,"Головне станом на зараз:

• Юлія Тимошенко провела початок цього року у Дубаї — [УП](https://www.pravda.com.ua/news/2023/01/27/7386755/);

• ""Ловці шахедів"" вже в Україні, [повідомив](https://t.me/zedigital/2827) Федоров. Вони захищають енергооб‘єкти від російських дронів;

• Невідомий почав [стрілянину](https://www.tasnimnews.com/en/news/2023/01/27/2843568/one-killed-2-injured-in-shooting-at-azerbaijan-s-tehran-embassy) в посольстві Азербайджану в Тегерані — одна людина загинула, ще дві отримали поранення;

• Вранці окупанти [обстріляли](https://t.me/suspilnenews/17998) селище Комишани поблизу Херсона, загинула дівчина;

• росЗМІ: російський урядовий гелікоптер Мі-8 зачепив гвинтом землю під час посадки в аеропорті ""Внуково"". На жаль, [кажуть](https://www.pravda.com.ua/news/2023/01/27/7386787/), що ніхто не постраждав",2023-01-27
Новинач,"Юрія Бойка поки що не будуть позбавляти звання Героя України, адже Шмигаль [не знайшов](https://www.chesno.org/post/5492/) достатньо підстав для застосування санкцій щодо нього.

Нагадаємо, петиція про позбавлення Бойка звання Героя зібрала понад 26 тисяч голосів.

Тоді президент доручив справу прем'єр-міністру, але зазначив, що позбавити звання можуть у випадку засудження нагородженого за тяжкий злочин або в якості санкції (але за певних умов — [ст. 1 п. 2](https://zakon.rada.gov.ua/laws/show/1644-18#Text))",2023-01-30
Новинач,"За підсумками 2022 року Україна [отримала](https://cpi.ti-ukraine.org/#/) +1 бал в Індексі сприйняття корупції (це покращення) і посідає 116 місце зі 180 країн.

Тепер в нас 33 бали зі 100 (+8 за 10 років) — стільки ж має Алжир, Ангола, Замбія, Монголія, Сальвадор та Філіппіни",2023-01-31
Новинач,"Футболка Новинача побувала на росТБ — маленьке, але досягнення.

До речі, це уривок з [30-хвилинного стендапу](http://bit.ly/3RcYB8r) нашого друга Антона Тимошенка.

Також є версія на 100 хвилин, яку можна придбати тут: anton-tymoshenko.com — 20% від продажів повної версії Антон відправляє на потреби ЗСУ",2023-02-01
Новинач,"ДБР [затримало](https://t.me/DBRgovua/3123) злочинну групу, яка привласнювала кошти, виділені на харчування військовослужбовців ЗСУ.

Вони, зокрема, продавали яйця по 17 гривень",2023-02-02
