channel_name,text,date
RT на русском,"В Киеве после ночных взрывов повреждены объекты энергетической инфраструктуры, в городе действуют аварийные отключения электричества, сообщил мэр Кличко.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-02
RT на русском,"Не менее 15 могил повреждено в результате обстрела ВСУ села Муром в Белгородской области.

Как сообщил глава региона Вячеслав Гладков, некоторые снаряды разрушили также ограды и памятники.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-02
RT на русском,"**Лишившийся ноги на Украине французский наёмник обвинил Париж в безразличии к своим гражданам.

**32-летний Максим Броншэн, воевавший на стороне ВСУ, подорвался в лесу на мине и сейчас проходит лечение в Страсбурге.

В беседе с TF1 INFO он отметил, что французское посольство не поддержало его после ранения:

«Франция направляет Украине много оборудования и денег, но не помогает французским гражданам, которые действительно нуждаются в помощи на месте».

В сюжете отмечается, что Броншэну грозит на родине пять лет тюрьмы, а также штраф €75 тыс. за наёмничество.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03
RT на русском,"**В Госдуме предложили сократить новогодние выходные до трёх дней.

**С инициативой выступил депутат от «Единой России» Максим Иванов.

Он объяснил РИА Новости, что выходные дни необходимо распределять равномерно, чтобы у людей были не недели отдыха, а по три активных дня: «Надо всё-таки новогодние праздники урезать и сделать их меньше».

При этом Иванов высказался против сокращения выходных на майских праздниках, так как многие россияне занимаются посевной и заняты на даче.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03
RT на русском,"**Александр Коц, спецкор «Комсомольской правды», член СПЧ при президенте, автор Telegram-канала ****@sashakots****

**Валерий Меладзе, попавший в [скандал](https://t.me/rt_russian/142057) в Дубае, решил объясниться. На одном из корпоративов кто-то решил его поддеть. «Слава Украине!» — хрюкнул безвестный оператор за кадром. «Героям слава!» — не моргнул глазом певец. И закономерно нарвался на реакцию из России, которая дала ему чуть меньше, чем всё.

Валерий думал сутки и [написал](https://t.me/rt_russian/142109), как он страдает от того, что два близких народа воюют. И мечтает, чтобы «антагонизм прекратился». То есть лозунг бандеровских недобитков, на который он не колеблясь откликнулся (разве что не зиганул), был его маленьким вкладом в дело «прекращения антагонизма».

А что вы ждали от Валерия Меладзе? Чтобы он с той же непоколебимостью, с какой ответил в Дубае на приветствие УПА (запрещена в РФ), пал на колени и молил о прощении? Вы уверены, что ему это надо?

Помню, уезжал Валерий Меладзе в самом начале специальной военной операции за бугор, кляня «русскую военщину» и власти «проклятой Рашки». И говорили тогда многие, включая и вашего покорного слугу: под ложечкой засосёт — вернётся, как пить дать.

И вернулся Меладзе летом, исхудавший и по публике московской оголодавший. Как будто и не было критики Кремля, зато было интервью Собчак, что рос в Грузии и на Украине, а Россия — это так, возможность заработать. Только эта возможность ему и нужна. И плевать он хотел на ваши (наши) переживания. Он знает, что завтра приедет в Москву и соберёт полный зал. Как собирала Ахеджакова, приехавшая из Израиля поправить материальное положение.

Собственно, проблема возвращенцев, ливших грязь на нашу страну, не только в них самих и их похудевших кошельках. Она в условиях, при которых они не просто возвращаются, но и имеют возможность собирать аншлаги. А в новой России таких условий у них быть не должно.

__Точка зрения автора может не совпадать с позицией редакции.

__ 🟩 [Подпишись на канал «Специально для RT»](https://t.me/+oyIxUZnvh8ZkYzg6)",2023-01-03
RT на русском,"Руслана Хасбулатова похоронят в Чечне, сообщили РИА Новости близкие политика. В Москве прощания не будет.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03
RT на русском,"**3 января

**— Меладзе после появления в сети видео, на котором он, предположительно, [цитирует](https://t.me/rt_russian/142119) лозунг украинских националистов, [опубликовал](https://t.me/rt_russian/142109) антивоенный пост;

— [умер](https://t.me/rt_russian/142122) последний председатель Верховного Совета РСФСР Руслан Хасбулатов;

— в Госдуме [предложили сократить](https://t.me/rt_russian/142083) новогодние выходные до трёх дней;

— в сети [разошёлся](https://t.me/rt_russian/142084) фрагмент эфира французского ТВ, на котором зафиксирован момент удара по, предположительно, пункту ВСУ на ледовой арене под Краматорском;

— ВСУ [нанесли](https://t.me/rt_russian/142117) несколько ударов тяжёлым вооружением по больнице в городе Токмаке Запорожской области;

— на прифронтовой территории ДНР активизировались диверсанты, на приграничных дорогах надо ужесточать контроль, [заявил](https://t.me/rt_russian/142092) Рогозин;

— Путин подписал указ о дополнительных соцгарантиях военнослужащим и поручил Минобороны до 1 февраля представить доклад об обеспечении участников спецоперации всем необходимым;

— Польша [попросила](https://t.me/rt_russian/142102) ООН помочь получить военные репарации от Германии;

— уже десятая страна отозвала признание Косова, [сообщил](https://t.me/rt_russian/142103) глава сербского МИД Ивица Дачич.

#главное_на_RT

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-03
RT на русском,"Курс доллара поднялся на Московской бирже до 72 рублей.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-04
RT на русском,"В предстоящие дни и недели США намерены предоставить украинской армии новую военную помощь, Вашингтон не ожидает скорого прекращения боёв, сообщили в Белом доме.

Новые пакеты военной помощи могут включать дополнительные установки РСЗО HIMARS, отметили в американской администрации.

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-04
RT на русском,"**В Харькове демонтировали памятник писателю Николаю Островскому.

**Кто именно снёс монумент, местные СМИ не уточняют. В начале декабря вандалы разрисовали памятник, а активисты требовали демонтировать его из-за участия Островского в Гражданской войне на стороне Красной армии.

Накануне в Днепре убрали памятники [танку Т-34](https://t.me/rt_russian/142172) и [советскому солдату](https://t.me/rt_russian/142143).

🟩 [Подпишись — RT на русском](https://t.me/+UnkqFPSZsedkOTZi)",2023-01-05
