channel_name,text,date
РИА Новости,"В Петербурге мужчина поджег двери военкомата и попытался протаранить арочные ворота на легковушке в понедельник вечером, он задержан, сообщила администрация Центрального района города.

Отмечается, что дверь в военкомат обгорела на площади 1 квадратный метр, серьезного ущерба нет.",2023-08-01
РИА Новости,"Приложение ""Тинькофф банка"" пропало из Google Play на фоне введенных недавно США и Канадой санкций",2023-08-01
РИА Новости,"Лукашенко заявил, что хочет **оставить бойцов ""Вагнера"" в белорусской армии**, и, отталкиваясь от них, более активно создавать контрактные вооруженные силы",2023-08-01
РИА Новости,"Французская компания Orano, ведущая добычу урана в Нигере, объявила, что продолжит работу, несмотря на объявленную МИД эвакуацию граждан Франции.

В компании отметили, что 99% сотрудников - граждане Нигера, операционная деятельность продолжается.",2023-08-01
РИА Новости,"Авиакомпания ""Туркменистан"" сообщила, что с 1 августа приостановила полеты в Москву, рейсы будут выполняться маршруту Ашхабад – Казань – Ашхабад",2023-08-01
РИА Новости,"Сенатор Шейкин сообщил РИА Новости, что осенью планирует внести в Думу законопроект о штрафах до 2 тыс рублей за вождение электросамоката вдвоем.

За движение по проезжей части в нарушение ПДД предполагается штраф в 2 тыс рублей, а при фиксации камерой – 1500 рублей.

Кроме того, в Госдуму внесут проект о штрафах в 10 тыс рублей за вождение электросамоката в нетрезвом виде.",2023-08-02
РИА Новости,"Каждый пятый россиянин (21%) считает Россию страной, в которой общество устроено наиболее справедливо, показал опрос ВЦИОМ. Десять лет назад так считали меньше одного процента.

11% считают, что такое общество в Китае, 6% назвали Белоруссию, по 5% - Швецию и Норвегию. Каждый десятый убежден, что такой страны нет.",2023-08-02
РИА Новости,"Дезертир, угрожавший взорвать гранаты под Уфой, сдался правоохранителям после разговора с главой Башкирии Хабировым",2023-08-02
РИА Новости,Евро на Мосбирже поднялся до 103 рублей (максимум с марта 2022),2023-08-02
РИА Новости,Специальная военная операция. Обстановка на 2 августа.,2023-08-02
РИА Новости,"Правительство США одобрило продажу израильско-американской системы ПРО ""Праща Давида"" **Финляндии** на $350 миллионов",2023-08-02
РИА Новости,"Минимальная цена на этиловый спирт в России будет снижена с 68 до 55 рублей за литр, сообщил Минфин.

Причина - падение внутренних цен на зерно из-за высокого урожая в прошлом году.",2023-08-03
РИА Новости,"Франция завершила эвакуацию граждан из Нигера, в общей сложности вывезены более тысячи человек, сообщил министр обороны страны",2023-08-03
РИА Новости,"Путин подписал указ о страховых гарантиях в виде компенсации для россиян, пребывающих в добровольческих формированиях",2023-08-03
РИА Новости,"США и Украина в четверг начали переговоры по предоставлению Киеву гарантий безопасности, сообщил РИА Новости представитель Белого дома",2023-08-03
РИА Новости,"Источник в МИД России после обращения свергнутого президента Нигера к США (попросил помочь восстановить порядок) заявил РИА Новости, что интервенция должна быть исключена.

В то же время эксперты считают, что отправка военных США возможна. По мнению главного научного сотрудника Института США и Канады РАН Владимира Васильева, речь может идти о контингенте в несколько тысяч человек.

""И это может быть пробным камнем, прецедентом для отправки американских войск на Украину"", - сказал РИА Новости Васильев.",2023-08-04
РИА Новости,"Все, кого обхаживает Запад для принятия ""формулы Зеленского"", должны понимать, что на карте – судьба миллионов русских, которых Киев уничтожит, заявил Лавров",2023-08-04
РИА Новости,Сводка Минобороны России,2023-08-04
РИА Новости,"Москалькова сообщила, что обратилась в СК по ситуации с детьми, которых выселили из гостиницы в Анталье из-за неуплаты отдыха туроператором",2023-08-05
РИА Новости,"В немецком Ройтлингене (юго-запад страны) выпал такой град, что коммунальщикам пришлось применить снегоуборочную технику.

Для уборки льда в центр города были стянуты 250 сотрудников добровольной пожарной службы и снегоуборочные машины.",2023-08-05
РИА Новости,"Россия и Катар прорабатывают совместные проекты на сумму** более 160 млрд рублей**, заявил в интервью РИА Новости посол в Дохе Дмитрий Догадкин.

Перспективным направлением, по его словам, обе страны считают сотрудничество в транспорте и логистике, в первую очередь речь идет о реализации проекта международного транспортного коридора ""Север-Юг"".",2023-08-07
РИА Новости,"Расчеты Космических войск выполнили пуск ракеты ""Союз"" с космодрома Плесецк в интересах Минобороны, сообщили в военном ведомстве",2023-08-07
РИА Новости,"Переговоры по Украине в Саудовской Аравии не принесут результат, потому что в них не участвует Россия, заявил посол РФ в США Антонов",2023-08-08
РИА Новости,"ВСУ с полуночи 25 раз обстреляли Донецк, выпустив в общей сложности около 90 снарядов натовского калибра (155 мм). Под утро Киев запустил по городу шесть ракет из РСЗО.",2023-08-08
РИА Новости,"Нормативы по загрязнению воздуха после взрыва в Сергиевом Посаде не превышены, рассказали РИА Новости в минэкологии региона",2023-08-09
РИА Новости,"Депутат Хинштейн назвал ""сомнительным"" решение екатеринбургского суда, оштрафовавшего на 7 тысяч мужчину, который оскорблял ребенка с буквой Z на шапке.

Хинштейн назвал вердикт суда ""плевком в лицо"" участникам спецоперации и заявил, что обратится в Генпрокуратуру о привнесении протеста на это решение.",2023-08-09
РИА Новости,"В Сергиевом Посаде после ЧП на территории завода пострадали 60 человек, 8 пропали без вести, под завалами погибшие не найдены, сообщил глава округа",2023-08-09
РИА Новости,"Балицкий рассказал РИА Новости, что с момента назначения на должность главы Запорожской области на него совершили не менее 10 покушений, поступают и угрозы",2023-08-10
РИА Новости,"Роспотребнадзор заявил, что в России вариант коронавируса Eris, по поводу которого бьют тревогу в Британии, не получил широкого распространения, **но риски осложнения эпидситуации есть**.

В России этот штамм пока представлен единичными случаями - было 17 заражений в апреле, говорят в ведомстве.

Eris происходит от штамма Omicron и впервые был обнаружен в марте, скорость его распространения довольно высокая.",2023-08-10
РИА Новости,"**Запуск ""Луны-25"": западные СМИ ищут политическую подоплеку** 

Guardian 
Главной целью запуска была демонстрация Россией способности отправить миссию на Луну, несмотря на неудачи в прошлом, смену поколений научных специалистов и введение западных санкций

New York Times
За полетом станции будут пристально наблюдать во всем мире, поскольку Европа и Америка стремятся изолировать Россию, которая в ответ пытается укрепить свои политические и экономические связи с незападными странами. Одно из направлений этих усилий - космическая программа

Politico 
""Если им это удастся, то это будет огромным технологическим и научным достижением"", - сказал Тим Маршалл, автор книги ""Будущее географии"", посвященной геополитике космоса. Успешная высадка россиян и плодотворные исследования будут означать большой шаг вперед в реализации планов по созданию совместно с Китаем лунной базы к 2030-м годам.",2023-08-11
РИА Новости,"Дочь легендарного советского конструктора Сергея Королева Наталия скончалась на 89-м году жизни, сообщил ""Роскосмос"".

Она выбрала профессию врача-хирурга, окончила Первый медицинский институт, а позднее преподавала в нем. Также работала в Боткинской больнице. Защитила докторскую диссертацию, была членом Союза писателей.",2023-08-12
РИА Новости,"Бойцы ВС РФ отбили атаку ВСУ на село Первомайское в ДНР, при этом украинцы бросили своих раненых. Видео и подробности - в канале [РИА Новости: ДНР](https://t.me/ria_dnr/196)",2023-08-13
