channel_name,text,date
Ukraine NOW,"**У світі рекордно зростає кількість випадків COVID-19 через поширення штаму «Омікрон»**

Всесвітня організація охорони здоров’я повідомила, що за перший тиждень 2022 року у світі було зафіксовано рекордні 9,5 мільйона випадків COVID-19. 

📌Наразі найбільший рівень захворюваності на COVID-19 спостерігається у США, Франції, Італії, Індії та Іспанії.",2022-01-12
Ukraine NOW,"⚡️⚡️Комендантська година - вимушений, але необхідний крок в умовах військової агресії та воєнного стану.

Діятиме:
Київ та Київська область з 22:00 - до 7:00
Дніпропетровьска область з 22:00 - до 6:00
Черкаська область з 22:00 - до 6:00
Вінницька область з 22:00 - до 7:00
Житомирська область з 22:00 - до 6:00
Запорізька область з 22:00 - до 6:00
Миколаївська область з 22:00 - до 6:00
Одеська область, Березівський район та м. Арциз з 22:00 - до 5:00
Полтавська область з 22:00 - до 6:00
Рівненська область з 22:00 - до 6:00
Харківська область з 22:00 - до 6:00
Черкаська область з 22:00 - до 6:00
Чернігівська область з 22:00 - до 6:00",2022-02-24
Ukraine NOW,"‼️Маріуполь, повітряна тривога‼️",2022-02-27
Ukraine NOW,"❗️Волинь, повітряна тривога! В укриття!",2022-02-27
Ukraine NOW,"‼️УВАГА! У Києві оголошена повітряна тривога!
Просимо всіх терміново прослідувати в укриття цивільного захисту!

⚡️⚡️⚡️

‼️ ATTENTION! Air raid sirens in Kyiv!

Please proceed to the shelters!",2022-03-02
Ukraine NOW,📢 Увага ❗❗❗ Повітряна тривога! **ЧЕРНІГІВ **! В укриття ❗❗❗,2022-03-03
Ukraine NOW,Брифінг Ірини Верещук: окупант не дотримується домовленостей щодо гуманітарних коридорів.,2022-03-06
Ukraine NOW,"⚡️**У Офісі президента повідомили про актуальний перебіг протистоянь на території країни:
**
 🔺Інформація про захоплення окупантами Ізюма Харківської області не відповідає дійсності.

🔺Триває героїчна оборона Миколаєва, Сум, Чернігова, Харкова та Охтирки.

🔺У ворога немає успіху на землі і в повітрі, тому основні зусилля вони перенесли на інформаційно-психологічні операції проти населення України. Саме тому два-три дні поспіль ми чуємо про «захоплення міст» і «просування». 

🔺За добу ЗСУ здійснили 7 контратак, біля Маріуполя знищили танкову колону противника, Харків теж вступає в контратаку.

🔺Армія України знає, що робить, а керівництво країни докладає зусиль, щоб залучити якомога швидшу воєнну, дипломатичну, економічну та гуманітарну підтримку.",2022-03-08
Ukraine NOW,"**⚡️Бути завжди на зв'язку з рідними: **якщо мережа вашого мобільного оператора недоступна, перемикайтеся на мережу інших операторів

Як це зробити, дивіться в інфографіці.

▪️Тарифікація зберігається відповідно до тарифного плану вашого оператора. 
▪️Раз на день намагайтеся повернутися до мережі свого оператора. Вручну або увімкнувши автовибір мережі. 
▪️Підключення національного роумінгу передбачає значне навантаження на мережі операторів. Отже, це може впливати на якість роботи деяких послуг. 

📍Нацроумінг буде підключений в першу чергу у зоні бойових дій 

- Харківська
- Херсонська
- Сумська
- Полтавська
- Дніпропетровська
- Запорізька
- Донецька
- Луганська
- Кіровоградська
- Миколаївська області).

Далі у Чернігівській, Житомирській, Черкаській та Вінницькій областях і згодом по всій території України.",2022-03-08
Ukraine NOW,‼️Хмельниччина! Тривога!,2022-03-16
