channel_name,text,date
РИА Новости,"Бойцы ЗВО и подразделения 76-й гвардейской десантно-штурмовой дивизии ""поздравили"" с Новым годом противника огнём танков и артиллерии на кременском направлении в Донбассе. Корреспондент РИА Новости встретил праздник в блиндаже российских военнослужащих.",2023-01-01
РИА Новости,"На священника канонической УПЦ напали в храме в Виннице.

Местная епархия сообщила, что протоиерей получил ножевые ранения, он в тяжелом состоянии. Нападавший задержан.",2023-01-02
РИА Новости,"Конфуз произошел в отношениях США и Южной Кореи из-за заявлений Сеула о якобы планируемых совместных «ядерных учениях» в ответ на угрозу КНДР. 

Офису южнокорейского президента пришлось корректировать высказывания своего шефа после того, как Байден опроверг проведение подобных переговоров с Сеулом. В итоге Южная Корея, которая не входит в клуб «ядерных держав», пояснила, что речь идет в основном об обмене информацией.",2023-01-03
РИА Новости,"Путин поручил Минобороны до 1 февраля доложить об обеспечении участников спецоперации вооружением, техникой, материальными средствами и экипировкой",2023-01-03
РИА Новости,"Воздушная тревога объявлена на всей территории Украины, свидетельствуют данные онлайн-карты",2023-01-04
РИА Новости,"Эрдоган провел телефонный разговор с Путиным, обсудил сирийский кризис, ситуацию на Украине и двусторонние отношения, заявили в канцелярии турецкого лидера",2023-01-05
РИА Новости,"Пожар произошел в жилом доме в Чебоксарах, пострадал 21 человек, среди них 10 детей",2023-01-05
РИА Новости,"Воздушная тревога звучит в Сумской, Полтавской, Харьковской, Днепропетровской областях, а также в подконтрольных Киеву частях Запорожской области и ДНР",2023-01-05
РИА Новости,"В Париже в субботу проходит манифестация ""желтых жилетов"", они протестуют против инфляции, подорожания жизни и пенсионной реформы",2023-01-07
РИА Новости,"Украинский посол в Лондоне Пристайко признал крупные потери Киева из-за российской спецоперации.

__""Мы теряем людей направо и налево. Мы не афишируем, сколько из пропавших - военные или гражданские, но вы можете себе представить, что цифры огромны, неудобоваримы""__, - сказал он в интервью Newsweek.",2023-01-07
РИА Новости,Путин внес в Госдуму проект о денонсации Россией Конвенции об уголовной ответственности за коррупцию,2023-01-09
РИА Новости,Талибы (под санкциями ООН за террористическую деятельность) распорядились в десятидневный срок закрыть в Афганистане салоны красоты и запретили женщинам работать в ТЦ,2023-01-10
РИА Новости,❗️Британия вслед за Польшей заявила о намерении поставить Киеву танки,2023-01-11
РИА Новости,"Реализовать идею конфискации имущества уехавших россиян, оскорбляющих Родину, можно через модернизацию статьи об экстремизме, считает адвокат Аграновский.

Также он отметил, что возможен вариант введения статей за саботаж и вредительство: ""можно изучить советские нормы и взять оттуда полезное"".",2023-01-13
РИА Новости,"Следователь просит суд арестовать директора Московского научно-практического центра наркологии Копорова по делу о мошенничестве, сообщили РИА Новости в пресс-службе суда",2023-01-13
