channel,txt,date,category
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," в вакс происходит что-то странное, если не возмутительное судьи этого антикоррупционного суда настолько нетерпимы к коррупции, что решили в очередной раз уменьшить размер залога экс-главе верховного суда князеву, попавшемуся на взяточничестве. сообщается, что высший антикоррупционный суд уменьшил размер залога на двадцать миллионов гривень: с 75-ти до 55-ти. и это уже во второй раз. впервые судьи высшего антикоррупционного суда сократили залог в мае - со 107,3 млн. грн. до 75 млн. гривень. вангуем, что пройдет полгода, и мы еще князеву из наших налогов и общего бюджета доплачивать будем. ну а вы пока посмотрите на этого кристально честного человека. неужели вы не верите, что почти три миллиона долларов, найденные у него в кабинете - это друзья принесли подержать? нет? странно. хотя мы тоже не верим. остаться с нами в телеграм | восхититься нашим youtube",2023-09-05,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," всплыли скандальные эпизоды биографии ответственного за оружейные контракты минобороны: есть российские ""хвосты"" о вопиющих фактах об александре лиеве, назначенном летом 2022-го года в мо, написал глава центра противодействия коррупции виталий шабунин. ""блокировал доступ всу к нашим маякам, призывал ""услышать крым"", поддерживал ""референдум"", а значит, и оккупацию полуострова. все это о человеке, которого резников с лета назначил подписывать оружейные контракты минобороны. как вам это?"" – написал он.",2023-01-31,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," сбу задержала замглавы одесской ова, который хотел ""отмазать"" подчиненного он предлагал руководителю одного из структурных подразделений за $35 тысяч помочь избежать ответственности за присвоение госимущества. поймали фигуранта во время передачи своему водителю $27 тысяч аванса.",2023-01-05,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," суд отказался взять под стражу экс-нардепа микитася, которого подозревают в присвоении более 300 млн грн минобороны прокурор просил посадить микитася в сизо с альтернативой 134 млн грн залога, но суд решил отправить его под круглосуточный домашний арест с электронным браслетом. самый святой суд в мире",2023-11-06,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," судьи верховного суда выразили недоверие главе ведомства князеву представление подписали 138 судей из 142, отметив, что они шокированы такими обстоятельствами и берут на себя полную ответственность за происходящее в связи с возможными коррупционными действиями отдельных работников. остаться с нами в телеграм | восхититься нашим youtube",2023-05-16,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН," судья алексей тандыр в момент совершения смертельного дтп находился в состоянии алкогольного опьянения об этом сообщает гбр и объясняет задержку с результатами экспертизы тем, что тандыр воспользовался своими юридическими знаниями и навыками: он профессионально старался скрыть следы своего опьянения. также установлено, что он ехал за рулем автомобиля на момент аварии со скоростью 100 км/час. напомним, 26 мая судья на въезде в киев сбил насмерть нацгвардейца вадима бондаренко, находившегося на блокпосту. остаться с нами в телеграм | восхититься нашим youtube",2023-07-11,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"""всю жизнь, большую часть жизни занимаюсь этим направлением - коррупцией, разворовыванием бюджета, я в этом знаю толк"", - заявил глава департамента предотвращения и противодействия коррупции в кгга олег тимошенко ",2023-11-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"""нереальные, фантастические вещи"": коломойский в суде прокомментировал обвинения по приватбанку по его словам, обвинение, в котором говорится, что из банка были выведены 5,8 млрд, звучит неправдоподобно, поскольку каждый день сотни людей подписывали бумаги с отчетностью, а также были государственные проверки: ""представьте с конца периода ""преступления"", то есть в февраля 2014 года по декабрь 2016 года, когда состоялась национализация, каждый день в кассу сдавались бумаги, в которых писалось, что есть 10 млрд, а на самом деле находилось 4,2. каждый день сотни людей подписывали бумаги. как может быть, что в кассе банка, которая проверяется нацбанком, за которой следят в первую очередь, потому что это деньги вкладчиков <...> могут каждый день на протяжении двух лет подделывать ордера?"" он также напомнил, что во время национализации, в ""приватбанк"" приехала ""группа захвата"" – работники нбу, kroll, не менее 50 человек: ""они сняли все остатки кассы. как вы думаете, если во времена национализации в кассе не хватает 6 млрд гривен – они бы заметили? я думаю, наверняка заметили. 6 млрд гривен отсутствуют в кассе ""приватбанка"" по сегодняшний день. если бы ""приватбанк"" принял кассу во время национализации, на которой было написано, что там 10 миллиардов, а на самом деле было 4, то на сегодняшний день должна быть дыра в 6 млрд. учитывая, как с нами, бывшими владельцами, судятся на протяжении последних 5-6 лет, я думаю, они бы не преминули воспользоваться этим случаем"", - резюмировал коломойский. остаться с нами в телеграм | восхититься нашим youtube",2023-09-16,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"""укрнефтебурение"" требует от набу расследовать попытку захвата предприятия одна из крупнейших газодобывающих компаний украины ""укрнефтебурение"" обратилась в национальное антикоррупционное бюро с призывом расследовать вопрос о передаче арестованных активов компании в управление пао ""укрнафта"". как утверждается в заявлении, которое находится в распоряжении униан, попытка присвоения активов ""укрнефтебурения"" является коррупционным уголовным правонарушением. совокупная стоимость активов ""укрнефтебурения"" в 2022 году составила более 21 млрд грн, а значит компания является привлекательным объектом для рейдеров. остаться с нами в телеграм | восхититься нашим youtube",2023-05-23,Corruption
УНИАН - новости Украины | война с Россией | новини України | війна з Росією | УНІАН,"10 тыс. долларов за выезд: в закарпатье сбу ликвидировала очередной канал нелегального выезда мужчин призывного возраста за границу сообщается, что разоблачены два организатора нелегального трафика, которые наладили механизм зарубежных ""поездок"" уклоняющихся под видом лиц, непригодных к службе по состоянию здоровья. для этого они снабжали своих ""клиентов"" фиктивными документами, в том числе справками о непригодности к военной службе со снятием с военного учета. в схему привлекли врачей и служащих одной из отг. свои ""услуги"" они оценивали в 10 тыс. дол. из одного человека. чтобы избежать разоблачения, дельцы разработали систему конспирации: осуществляли наблюдение за ""клиентами"", меняли автотранспорт, который каждый раз проверяли на наличие так называемых ""жучков"". стоит отметить, что один из организаторов этой схемы уже находился под следствием за совершение аналогичного преступления, и его дело уже на рассмотрении в суде. что не помешало ему продолжать заниматься ""любимым делом"" остаться с нами в телеграм | восхититься нашим youtube",2023-06-21,Corruption
