channel_name,text,date
MarketOverview,"📢**Banking news**

🔻ЦБ выписал 2 штрафа **Совкомбанку **за неисправление кредитной истории (ст. 15.26.3 КоАП) 
Размер одного штрафа - от 30 тыс. руб до 50 тыс. руб.
🔻ЦБ оштрафовал на 250 тыс. руб круадлендинговую платформу **ДжетЛенд** за невыполнение в установленный срок предписание регулятора (ч. 9 ст. 19.5 КоАП). Странно, но по КоАПу предусмотрены другие размеры штрафов на юр. лиц - от 500 тыс. руб до 700 тыс. руб.
🔻ЦБ вынес предупреждение **ИК Статус Финанс **за воспрепятствование проведению проверок или неисполнение предписаний регулятора (ч. 9 ст. 15.29 КоАП), и снова по кодексу должен быть штраф от 700 тыс. руб до 1 млн руб.
🔻Bloomberg узнал, что на следующей неделе украинский **Sense Bank** (прежнее название - **Альфа-банк Украина**) будет национализирован. Конечными владельцами Sense Bank являются Михаил Фридман, Петр Авен и [Андрей Косогов](https://t.me/MarketOverview/8537). В стране был принят специальный закон, позволяющий национализировать банки, которые находятся в собственности подсанкционных лиц.

🔸**Сбербанк** приостановил приём заявок на Сельскую ипотеку из-за высокого спроса - исчерпался лимит. Пресс-служба Сбера пообещала возобновить приём заявок после получения дополнительного лимита.
🔸Первый зампред ЦБ Ольга Скоробогатова призвала **Сбербанк** отменить комиссии на переводы: __""Мы очень ждем на Финополисе мудрейшее решение Сбербанка — отменить комиссии за переводы из Сбербанка. Я уверяю, лояльность клиентов от этого повысится""__. Первый зампред Сбера Кирилл Царев сообщил, что комиссии есть у всех и они готовы рассмотреть отмену, если рынок также их отменит.

🔹**ВТБ** продал 45% зерновой компании Деметра-Холдинг, который [объединял](https://t.me/MarketOverview/7251) все зерновый активы банка: РТК, Русагротранс, Транкслес, Мирогрупп Ресурсы, Новороссийский зерновой терминал, НКХП, Зерновой терминальный комплекс Тамань, IT-платформа Smartseeds, Объединенная зерновая компания. Глава ВТБ Андрей Костин: __""На днях сделку закрыли. Не могу сказать, кто покупатель,— это его право заявлять о себе. Цена объективная, маржа приличная""__.

@MarketOverview",2023-07-10
MarketOverview,"4️⃣** Банк Ренессанс-Кредит с 13 июля вдвое увеличивает комиссию на переводы в долларах и евро**

Валютные переводы в Ренике можно делать только банки Грузии и Армении, за исключением Меллат Банка (Армения) и ВТБ (Армения): 
**• 2% min $/€100 max $/€500** - __было 1% min $/€50 max $/€250__

Преимущество банка было в наличие собственного брокера и возможности покупать валюту по курсу биржи, но похоже пришло время зарабатывать на новых клиентах.

▫️Обновил пост, в котором можно найти актуальную комиссию в большинстве банков:
• [входящие SWIFT-переводы
](https://t.me/MarketOverview/8788)• [исходящие SWIFT-переводы
](https://t.me/MarketOverview/8784)▫️Проверить SWIFT-переводы [OhMySwift.ru](http://ohmyswift.ru/)
▫️Чат @swiftTransferProblem

[тарифы](https://rencredit.ru/upload/iblock/f23/5y3ye47biiybu8uis9yqu6xf27kbrhrc.pdf) (pdf)| @MarketOverview",2023-07-10
MarketOverview,"⚡️**Москоммерцбанк с 1 августа прекращает выпуск и обслуживание карт**

С августа Москоммерцбанк перестает выпускать новые карты и обслуживать действующие карты клиентов, при этом банк обещает выполнять все обязательства перед клиентами: обслуживание счетов, проведение операций без карт, сохранность денег, поддержка интернет-банка и мобильного приложения[.](https://cdn30.notepost.ru/HRT7AaAj9FiWNwwb-1688976045073.jpeg) Таким образом, счетами можно будет пользоваться, просто не будет карты.

Напомню, Москоммерцбанк остается одним из [немногих банков](https://t.me/MarketOverview/10899), в которых еще можно без проблем открыть счета в USD и EUR и принимать валюту из заграницы: банк-корреспондент JSC Halyk Bank, Almaty, KZ. Поэтому рекомендую срочно в июле решить вопрос с открытием счета, как минимум [""про запас""](https://t.me/MarketOverview/10926):
• открытие счета - без комиссии;
• зачисление USD и EUR - без комиссии;
• исходящие переводы USD и EUR - 1% min $/€100 max $/€200;
• льготные комиссии на переводы в банки группы Халык.

В конце прошлого года Халык банк (Казахстан) [продал](https://t.me/MarketOverview/9753) российский Москоммерцбанк неизвестнм инвесторам. До сих пор новый собственник Москоммерцбанка не объявлен. Однако несколько косвенных факторов [указывает](https://t.me/MarketOverview/10416) на связь с банком Синара. Вероятно Москоммерцбанк будет оформлять карты уже нового собственники. Другим сценарием развития может стать специализация на РКО юр. лиц. 

[релиз](https://www.moskb.ru/press/advertisements/informatsiya-po-obsluzhivaniyu-bankovskikh-kart/) | [тарифы](https://www.moskb.ru/tariffs/%D0%A0%D0%B0%D1%81%D1%81%D1%87%D0%B5%D1%82%D0%BD%D0%BE-%D0%BA%D0%B0%D1%81%D1%81%D0%BE%D0%B2%D0%BE%D0%B5%20%D0%BE%D0%B1%D1%81%D0%BB%D1%83%D0%B6%D0%B8%D0%B2%D0%B0%D0%BD%D0%B8%D0%B5%20(%D0%BE%D1%82%2003.07.2023).pdf) (pdf)| @MarketOverview",2023-07-10
MarketOverview,"**Ситибанк закрывает** **единственный офис в Ростове-на-Дону**

8 сентября 2023 будет закрыт весь филиал ""Донской"": перестанут работать отделение и банкоматы. У клиентов регионального филиала поменяются реквизиты, так как все остатки будут переведены в центральный офис в Москву. Решение связано с объявленным в августе 2022 [сворачивании](https://t.me/MarketOverview/9046) бизнеса. Сити обещает выполнить все обязательства перед клиентами региона.
Ранее банк заявил о планах закрыть филиал в Башкирии - дата [11 августа 2023](https://t.me/MarketOverview/10863). В России остаются представительства Ситибанка в 6 регионах: 4 офиса в Москве , 3 - в Санкт-Петербурге (14 июля [закрывается](https://t.me/MarketOverview/10686) отделение «Московский проспект») и по одному в Волгограде, Екатеринбурге, Нижнем Новгороде и Самаре.

Я уже получил уведомление о том, что Сити закрывает мне одну из двух кредитных карт и даёт время до 1 декабря на  расторжение договора или переезд в банк Уралсиб ([условия](https://t.me/MarketOverview/10799)). Вчера обнаружил в почтовом ящике письмо-уведомление о закрытии моего текущего счета, здесь всё просто: __""в соответствии со ст. 859 ГК РФ в связи с отстуствием в течение двух лет операций и остатков по счету""__. Действительно, в любом банке в тарифах есть отдельная строка, которая регламентирует возможность банка закрывать такие счета + банки любят вводить комиссии за обслуживание неактивных счетов, чтобы вывести в ноль остаток для дальнейшего закрытия.

[релиз](https://www.citibank.ru/russia/News/rus/news.htm?news_1) | @MarketOverview",2023-07-10
MarketOverview,"💸 В работе мобильного приложения и интернет-банка Райффайзенбанка произошел масштабный сбой: пользователи не могут авторизоваться в личном кабинете. Войти в приложение Райф Инвестиции тоже невозможно

@MarketOverview

UPD: в 14:00 приложение восстановили, хотя при входе появляется уведомление о возможной нестабильной работе.",2023-07-10
MarketOverview,"Смелые решения, определившие архитектурное развитие мегаполисов, ценятся коллекционерами недвижимости не меньше, чем исторические особняки. Самая крупная сделка с жилой недвижимостью в США - квартира в небоскребе. В 2019 году пентхаус в 220 Central Park South в элитном Верхнем Ист-Сайде купили за $238 млн.

Не за горами время, когда собиратели эксклюзивного жилья начнут охотиться за квартирами в “Событии. 4”. Этот визионерский и дерзкий проект от Донстрой - первый в России и ультрасовременный даже по мировым меркам небоскреб со sky-мостами. Через пару десятилетий, когда приложение по вызову летающего такси будет в телефоне каждого москвича, жители четвертого квартала “События” скажут: “У нас все было готово еще в 20-х: парящие у облаков променады и скоростные лифты”. Пока будущее наступило только в одном небоскребе, его резиденты смогут расслабиться в лаундже sky-парка в окружении зелени на высоте 170 метров и любоваться сменой сезонов на Воробьевых горах, в Парке Победы и кампусе МГУ. Во всем мире за подобными впечатлениями едут в Marina Bay Sands в Сингапуре. @banksta",2023-07-10
MarketOverview,"🤝 Сегодня в 12:00 завершился аукцион: **банк Траст продал 90,01% акций банка Точка группе инвесторов**, среди которых Интеррос Владимира Потанина (Росбанк, Тинькофф) и ряд других инвесторов, которые не раскрываются.

9,9% принадлежало Catalytic People Limited (Кипр), которую основатели банка Борис Дьяконов и Эдуард Пантелеев [продали](https://t.me/MarketOverview/10330) Invest finance LLC, принадлежащей совладельцам авиакомпании S7 Владиславу Филеву и его дочери Татьяне. Владельцы миноритарного пакета обладали преимущественным правом на выкуп остального пакета, что отталкивало некоторых потенциальных покупателей. В итоге Филевы воспользовались преимущественным правом, предварительно собрав вокруг себя группу инвесторов.

В апреле Траст [выставил](https://t.me/MarketOverview/10478) акции банка на торги, тогда начальная цена аукциона была 22,7 млрд руб, позже она повысилась до 24,7 млрд руб. В итоге сумма сделки составила 41,5 млрд руб (+82% к первоначальной цене). На аукцион заявилось 7 участников: Catalytic People Limited, [Тинькофф банк](https://t.me/MarketOverview/9682), [Альфа-Банк](https://t.me/MarketOverview/11110), Уралсиб, остальные - неизвестны. Позже заявился [Росбанк](https://t.me/MarketOverview/11081), но непонятно как отдельный участник или в составе группы инвесторов. Также непонятно, почему Интеррос заявился дважды через Росбанк и Тинькофф. По данным РБК в аукционе участвовало только два потенциальных инвестора, похоже против него и объединилась группа инвесторов: Альфа, Уралсиб, кто-то еще?

Интересно, что в релизе Точка пишет:
• __в консорциуме отсутствует мажоритарный инвестор__ - это немного облегчает на случай, если акционер находился под санкциями, однако главное не превышать долю в 50% подсанкционных лиц;
__• в будущем Точка планирует усилить состав акционеров__;
• __интерес к участию в консорциуме проявила компания VK__ - возможно это и есть будущий международный инвестор.
Сделка окончательно закроется в 3 квартале, надеюсь, тогда уже будет понятно, кто новый владелец Точки.

[релиз](https://tochka.com/news/top-menedzhment-tochki-i-konsorcium-investorov-konsolidiruyut-100-ao-tochka/) | [РБК](https://www.rbc.ru/finances/10/07/2023/64aba97a9a794705228daadf) | @MarketOverview",2023-07-10
MarketOverview,"Сбер ведет [переговоры](https://www.kommersant.ru/doc/6095808) с крупными банками о подключении к сервису «Плати QR». 

«Плати QR», по сути, является альтернативой СБП. Сегодня к сервису уже подключились три крупных банка — Альфа, Тинькофф и Совкомбанк. С остальными пока идет переговорный процесс. 

Впрочем, в статье прогнозируют положительный исход переговоров. Например, вскоре к сервису могут присоединиться «Зенит», «Открытие» и «Почта банк».",2023-07-10
MarketOverview,"💸**Куда зарубежные банки потратили «российскую» валюту? 

**За последние полтора года россияне вывели из страны максимальный за всю историю наблюдений объем средств. Только на депозитах в банках-нерезидентах граждане хранили около 5,8 трлн рублей. Значительный объем этих денег ушел в страны Закавказья и Центральной Азии. Однако, поступившие в эти страны рекордные объемы средств не привели к буму кредитования населения и бизнеса ни в одной из стран притяжения релокантов и карточных туристов. 

🇰🇿На счетах и вкладах в **Казахстане** нерезиденты хранят 17,4 трлн тенге ($38,8 млрд). Их доля в общем объеме банков невелика — всего 9%, но полтора года назад было 1,5%. Объем входящих из России средств вырос до 360 млрд тенге. 
За 2022 год совокупный кредитный портфель казахстанских банков вырос на 20% — до 24,6 трлн (+20%). При этом в 2021 году банки увеличили ссудный портфель на 28%. А вот средства на корсчетах выросли в два раза — до 1,55 трлн тенге, в ценных бумагах — в 1,3 раза, до 11,4 трлн тенге

🇰🇬По данным Национального банка **Киргизии**, в 2023 году нерезиденты держат 54,23 млрд сомов (более $633 млн). Рост кредитования экономики в 2022 году держался на среднем уровне последних лет. Поступающая от нерезидентов валюта оседала на зарубежных депозитах и корреспондентских счетах коммерческих банков. 

🇺🇿В **Узбекистане** более 60 000 россиян открыли счета и вклады в банках, принеся около $892 млн. Это в девять с половиной раз больше, чем было «до». Денежные переводы в Узбекистан выросли в 2,1 раза — до $16,9 млрд. Кредитный портфель банков вырос на 19,5%, а в 2021 на 17,8%. Высоколиквидные активы коммерческих банков страны за год приросли на 37%, до 104,47 трлн сум, а коэффициент покрытия ликвидности достиг рекордных 211,6%.

🇦🇲Объем средств нерезидентов в банках **Армении** вырос на 60% — 1,4 трлн драмов ($3,6 млрд).  В январе — апреле 2023 года средства нерезидентов сократились на 8% к началу года. 
Кредитный портфель армянских банков подрос на 6%, до 4,2 трлн драм. Соотношение ликвидных активов коммерческих банков к обязательствам до востребования на конец 2022 составил 102,5%

🇬🇪В **Грузию** в 2022 году россияне перевезли 2,4 млрд лари (около $1 млрд). За год общий объем средств вырос на 327%. Переводы из России в прошлом году били рекорды, в отдельные месяцы превышая $300 млн. А темпы роста кредитования в 2022 даже снизились — до 3,2% с 13% в 2021. 

Коммерческие банки стран Центральной Азии и Закавказья понимают, что часть денег к ним пришла ненадолго, поэтому использовать эти средства для долгосрочного фондирования действительно нецелесообразно. Статистика денежных переводов за 2023 год подтверждает опасения банкиров. Объем трансфертов в 2023 уже стремительно падает.

[Forbes](https://www.forbes.ru/finansy/492258-neupravlaemye-pritoki-kak-banki-bliznego-zarubez-a-perevarili-sredstva-rossian) | @MarketOverview",2023-07-10
MarketOverview,"**Уникальные возможности **[**АЛОР OpenAPI](https://www.alorbroker.ru/open?promo=L0713)**

Скорость получения биржевой информации является одним из главных компонентов реализации торговой стратегии и анализа рыночных данных. Сегодня почти у каждого уважающего себя Брокера есть открытый API и, возможно, вы уже пользуетесь этой услугой, но отдельно хотелось бы остановиться на [OpenAPI от АЛОР Брокер](https://www.alorbroker.ru/open?promo=L0713) - собственный сверхбыстрый сервис достойный нашего внимания!

Алор еще в далеком 1999 году был пионером в разработке торговых интернет-систем и первым сделал и получил аккредитацию на ММВБ своего торгового терминала Алор трейд. Свой терминал АЛОР Брокер в течение всего времени развивал в первую очередь, как терминал для активного трейдинга, его библиотека расширений позволила многим работающим на фондовом рынке не только попробовать себя в качестве разработчика, но и  стать профессионалами алготрейдинга. И вот новая веха в разработке этого Брокера, это Алор OpenAPI - сервис для ведения торгов и получения биржевой информации на всех рынках Московской и СПБ биржи. С помощью своего API АЛОР Брокер - единственный, кто смог интегрироваться с терминалом TradingView и предоставить своим клиентам доступ к нему.

Основные характеристики у этого «зверя» [Алор OpenAPI:](https://www.alorbroker.ru/open?promo=L0713)
• рыночные данные в реальном времени - этим, конечно, мало кого удивишь;
• сверхбыстрая работа - 98% сделок купли-продажи проходит за:
- 23 мс на Московской бирже;
- 7 мс на СПБ-Бирже
• любой язык программирования - универсальные протоколы Rest API для ведения торгов и Websocket для получения рыночных данных;
• доступные типы данных: __Все сделки__, __Все заявки__, __Информация по инструментам__, __Котировки__,__ Биржевые стаканы__, __Исторические данные__, __Позиции__, __Информация о клиенте
__• поддерживаемые виды заявок: __Рыночные__, __Лимитные__, __Стоп-лосс__, __Тейк-профит__, __Стоп-лосс лимит__, __Тейк-профит лимит

__Для тех, кто не довольствуется обычным и всегда ищет для себя новое и интересное, кому важны не «шашечки, а ехать», рекомендую попробовать АЛОР OpenAPI. По поводу «ехать» добавлю, что у этого Брокера три независимых торговых системы, у клиентов всегда есть возможность резервного канала для совершения операций, что очень важно при активном трейдинге.

Получить консультацию можно по телефону, [Telegram](https://t.me/profulll), WhatsApp +79276673337
Открыть счёт и попробовать можно [по ссылке](https://www.alorbroker.ru/open?promo=L0713)",2023-07-10
