date,channel,hour,text,category
07/08/2023,novinach,20,"Від повторного ракетного удару росіян по Покровську [загинув](https://t.me/V_Zelenskiy_official/7296) заступник начальника ГУ ДСНС у Донецькій області полковник Андрій Омельченко.

Про це повідомив Зеленський",Shelling
07/08/2023,novinach,20,"В Одесі [відкриють](https://t.me/odeskaODA/2285) море до оксамитового сезону.

Голова Одеської ОВА розпорядився підготувати пляжі до 10 серпня",Shelling
07/08/2023,novinach,19,"Головне станом на зараз: 

• Прокуратура [перевіряє](https://www.facebook.com/vppru/posts/pfbid09AjVrAZuLeVp6P3aa8WDjUTomYrX72g9nGUmWKjyFWAtRT363RHfscBVZh6Gf7Ssl) факт мобілізації чоловіка з вадами здоров'я, який помер після прибуття до військової частини на Миколаївщині;

• Міжнародні резерви України [сягнули](https://bank.gov.ua/ua/news/all/mijnarodni-rezervi-perevischili-417-mlrd-dol-ssha-za-pidsumkami-lipnya-onovivshi-istorichniy-rekord-nezalejnoyi-ukrayini) рекордних $41,7 мільярда;

• В ОП [спростували](https://www.ukrinform.ua/rubric-polytics/3745567-u-dziddi-ukraina-ne-dopuskala-kompromisu-sodo-vivedenna-rosijskih-vijsk-op.html) повідомлення деяких ЗМІ про компроміс на саміті в Джидді щодо перебування російських військ в Україні;

• Катар та Україна [співпрацюватимуть](https://www.ukrinform.ua/rubric-society/3745535-katar-i-ukraina-spivpracuvatimut-v-galuzi-zahistu-prav-ludini.html) в галузі захисту прав людини;

• Україна [готова](https://www.facebook.com/1090077030/posts/pfbid027s3sXjH2PVRQhWFnwenhrMiLCY1MiHEY186EJVmQ64wSoc1Va5djWEZKfXKLKSmtl/) надати Словенії гуманітарну допомогу із гелікоптером для подолання наслідків масштабних повеней",Political
07/08/2023,novinach,18,Кількість поранених у Покровську [зросла](https://t.me/Klymenko_MVS/161) до 31 особи — МВС,Political
07/08/2023,novinach,18,"Кількість загиблих у Покровську зросла до 5 людей — ОП.

Станом на зараз відомо про 18 поранених",Humanitarian
07/08/2023,novinach,18,"США [схвалили](https://edition.cnn.com/europe/live-news/russia-ukraine-war-news-08-07-23/index.html) відправку першої партії танків Abrams в Україну, вони прибудуть на початку осені.

""Вони мають потрапити до Європи, а потім до України, разом з усім, що до них додається. Боєприпаси, запчастини, паливне обладнання, ремонтні засоби"", —  заявив начальник відділу закупівель армії США",Political
07/08/2023,novinach,17,рф — країна-гній,Political
07/08/2023,novinach,17,"Станом на зараз відомо про двох загиблих у Покровську, [повідомляє](https://t.me/ermaka2022/3391) ОП.

Поранено 7 людей, чотирьох забрала швидка",Humanitarian
07/08/2023,novinach,17,На Запоріжжі поблизу Роботиного бійці 47-ї механізованої бригади [знищили](https://t.me/otarnavskiy/190) з ПЗРК російський гвинтокрил Ка-52,Political
07/08/2023,novinach,17,"росіяни нанесли 2 ракетні удари по Покровську (Донецька область), влучивши по житловому будинку.

Є жертви, повідомляє Зеленський",Shelling
