date,channel,hour,text,sentiment,category
15/06/2023,ukraina_novosti,20,"❗️**В Новой Каховке местные сообщают о стрелковом бое и взрывах на подступах к городу.

**[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,20,"**❗️Зафіксовано рух кількох ударних БпЛА з південного напрямку**, - Повітряні сили ЗСУ.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",neutral,Political
15/06/2023,ukraina_novosti,19,"**Вечірнє звернення Зеленського:

**__Фронт. Я дякую всім нашим воїнам, кожному підрозділу, кожній бойовій бригаді за сьогоднішній день – за сьогоднішні бої.

Особливо відзначу шість підрозділів. ОСУВ «Хортиця» – десантників нашої потужної 80-ї окремої бригади ДШВ. ОСУВ «Таврія» – воїнів нашої 23-ї окремої механізованої бригади, морпіхів 35-ї, 37-ї окремих бригад, воїнів 128-ї окремої гірсько-штурмової Закарпатської бригади та 128-ї окремої бригади сил ТРО… Дякую всім вам, хлопці, за вашу результативність! За силу, відвагу й за те, що повертаєте Україні українську землю і посилюєте нашу українську волю.

__[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Political
15/06/2023,ukraina_novosti,18,"[💔](https://t.me/headliines)**Так сейчас выглядит уничтоженная рашистами Марьинка**.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,17,"**❗️Несколько часов назад был взлёт 2 бортов ТУ-95мс с Оленьи. Корыта двигаются в зону пусков.

**[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",neutral,Shelling
15/06/2023,ukraina_novosti,17,"**❗️Кількість жертв **[**ракетного](https://t.me/ukraina_novosti/57072)** **удару, який завдали рашисти по мирних кварталах Кривого Рогу позавчора, стало 13,** - ОВА.

Від опіків, несумісних із життям, сьогодні помер чоловік, який працював монтажником на одному із підприємств міста.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,16,"**россия проиграет войну в случае успешного контрнаступления ВСУ,** - Зеленский.

Он также уточнил, что сейчас новости с передовой ""в целом позитивные"", но это дается очень трудно.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,16,"[**Favbet](https://www.favbet.ua/)** **и Министерство молодежи и спорта подписали меморандум о поддержке добропорядочности в спорте

**Стороны направят совместные усилия на противодействие договорным матчам и коррупции в украинском спорте.

[Favbet и Минмолодьспорта](https://mms.gov.ua/news/minmolodsport-ta-favbet-pidpysaly-memorandum-pro-pidtrymku-dobrochesnosti-v-ukrainskomu-sporti) будут вместе работать над защитой целостности спорта и спортивной этики в Украине.

«Этим меморандумом мы открываем новую, важную страницу в сотрудничестве государства и частного сектора для очищения украинского спорта от договорных матчей и других манипуляций», — рассказали в [Favbet.](https://www.favbet.ua/)

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",positive,Political
15/06/2023,ukraina_novosti,16,"❗️**На всех направлениях наступления есть продвижение. Около километра на каждом**, - замминистра обороны Маляр.

**•** **Бахмутское направление**: продолжаются наступательные действия около Раздоловка – Краснополевка и Бреховка – Ягодное, есть успех;
**•** **Бердянское направление**: бои продолжаются в районах Макаровки;
**•** **Мариупольское направление**: сражения продолжаются в районах Новоданиловки и Новопокровки.

""Наши войска имеют дело с мощным сопротивлением врага и его преимуществом в количестве людей и вооружении"", - подчеркнула Маляр.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",positive,Economical
15/06/2023,ukraina_novosti,15,"Киевские школьники сегодня праздновали последний звонок в метро из-за воздушной тревоги.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",neutral,Shelling
15/06/2023,ukraina_novosti,15,"❕**Пошли отбои тревог.

**[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,15,"**❗️Масштабная воздушная тревога.

**Взлет российского МиГ-31К.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,15,"**Данія й Нідерланди вже замовили додаткові 14 танків Leopard 2 для України**, - Handelsblatt.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",neutral,Political
15/06/2023,ukraina_novosti,14,"Грета Тунберг смеется над вопросом, как она оценивает деятельность ООН.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",positive,Political
15/06/2023,ukraina_novosti,14,"**⚡️Країни ЄС завершили підготовку 24 тисяч військових ЗСУ, -** голова євродипломатії Борель.

[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
15/06/2023,ukraina_novosti,13,"**⚪️****Пошли отбои тревог.

**[Украина 24/7](https://t.me/+qzx5UNSknP01Yzhi)",negative,Shelling
